"","differentGenres","freq"
"1","latin",603
"2","pop",580
"3","reggaeton",544
"4","latin pop",484
"5","tropical",426
"6","dance pop",321
"7","cumbia pop",270
"8","trap latino",251
"9","latin hip hop",220
"10","colombian pop",156
"11","argentine rock",155
"12","post-teen pop",154
"13","rock en espanol",135
"14","rock nacional",133
"15","argentine hip hop",130
"16","cumbia villera",128
"17","trap argentino",122
"18","latin alternative",117
"19","reggaeton flow",102
"20","latin rock",96
"21","mexican pop",75
"22","edm",51
"23","latin viral pop",45
"24","latin arena pop",44
"25","boy band",36
"26","ska argentino",35
"27","viral pop",29
"28","electropop",28
"29","cuarteto",27
"30","deep funk carioca",27
"31","rap",27
"32","spanish pop",26
"33","folklore argentino",25
"34","r&b",25
"35","canadian pop",24
"36","pop rap",24
"37","champeta",22
"38","vallenato",22
"39","tropical house",20
"40","baile pop",18
"41","electro latino",18
"42","pop reggaeton",18
"43","bachata",17
"44","electro house",17
"45","modern rock",16
"46","rock",16
"47","vegas indie",16
"48","cumbia chilena",15
"49","cubaton",11
"50","pop quebecois",11
"51","brostep",9
"52","deep big room",9
"53","electra",9
"54","electronic trap",9
"55","emo rap",9
"56","hip hop",9
"57","moombahton",9
"58","progressive house",9
"59","urban contemporary",9
"60","chillstep",8
"61","dancehall",8
"62","detroit hip hop",8
"63","g funk",8
"64","girl group",8
"65","house",8
"66","indie poptimism",8
"67","permanent wave",8
"68","pinoy hip hop",8
"69","rock cristiano",8
"70","talent show",8
"71","trap espanol",8
"72","tropical pop edm",8
"73","",7
"74","cantautor",7
"75","uk funky",7
"76","cumbia santafesina",6
"77","argentine punk",3
"78","chicha",3
"79","flamenco",3
"80","rumba",3
"81","world",3
"82","cumbia sonidera",2
"83","australian dance",1
"84","australian pop",1
"85","big room",1
"86","canadian hip hop",1
"87","chamame",1
"88","cumbia",1
"89","cumbia paraguaya",1
"90","grupera",1
"91","salsa",1
