"","differentGenres","freq"
"1","latin",505
"2","pop",481
"3","reggaeton",439
"4","latin pop",421
"5","tropical",323
"6","dance pop",250
"7","latin hip hop",182
"8","colombian pop",156
"9","trap latino",135
"10","post-teen pop",122
"11","reggaeton flow",63
"12","latin arena pop",46
"13","latin viral pop",45
"14","mexican pop",45
"15","pop reggaeton",40
"16","edm",36
"17","boy band",32
"18","electropop",30
"19","rap",29
"20","vallenato",28
"21","viral pop",28
"22","tropical house",27
"23","spanish pop",26
"24","pop rap",24
"25","hip hop",22
"26","r&b",20
"27","deep funk carioca",18
"28","electro latino",16
"29","modern rock",16
"30","rock",16
"31","vegas indie",16
"32","bachata",15
"33","baile pop",15
"34","brostep",15
"35","electronic trap",15
"36","canadian pop",10
"37","champeta",10
"38","cumbia pop",9
"39","deep big room",9
"40","electro house",9
"41","emo rap",9
"42","moombahton",9
"43","rap dominicano",9
"44","rock cristiano",9
"45","urban contemporary",9
"46","cubaton",8
"47","detroit hip hop",8
"48","g funk",8
"49","indie pop rap",7
"50","egyptian pop",6
"51","girl group",6
"52","progressive electro house",6
"53","talent show",6
"54","pinoy hip hop",5
"55","big room",4
"56","progressive house",4
"57","grupera",2
"58","nu-cumbia",2
"59","regional mexican",2
"60","rock en espanol",2
"61","southern hip hop",2
"62","trap music",2
"63","uk funky",2
"64","canadian hip hop",1
"65","cumbia",1
