Position,Track Name,Artist,Streams,URL,Date,Region
1,Vai malandra (feat. Tropkillaz e DJ Yuri Martins),Anitta,1060057,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7,2018-01-01,br
2,Agora Vai Sentar,MC Jhowzinho e MC Kadinho,524222,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT,2018-01-01,br
3,Amar Amei,Mc Don Juan,427165,https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs,2018-01-01,br
4,Ar-Condicionado No 15 - Ao Vivo,Wesley Safadão,426318,https://open.spotify.com/track/5ac0YTpOaDX9wEYYyGCglL,2018-01-01,br
5,Downtown,Anitta,409942,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,br
6,Rabiola,MC Kevinho,404255,https://open.spotify.com/track/228vRHzGfQh47EfLjuY1Yr,2018-01-01,br
7,Deixa Ela Beijar,Matheus & Kauan,395307,https://open.spotify.com/track/7q5agbUOzZnVF4Yes3AD7I,2018-01-01,br
8,Regime Fechado - Ao Vivo,Simone & Simaria,362771,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n,2018-01-01,br
9,Fazer Falta,Mc Livinho,358240,https://open.spotify.com/track/6pSYjx66rlqRmGGTHhnjCo,2018-01-01,br
10,Permanecer,Lucas Lucco,347521,https://open.spotify.com/track/3sIMCkwUZbQbWeNOTG3ET4,2018-01-01,br
11,Ritmo Mexicano,Mc Gw,344122,https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO,2018-01-01,br
12,Encaixa,MC Kevinho,332782,https://open.spotify.com/track/7yYOMPwpV5CsK0cxoAZT6B,2018-01-01,br
13,Raspão - Ao Vivo,Henrique & Diego,316418,https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo,2018-01-01,br
14,Vidinha de Balada - Ao Vivo,Henrique & Juliano,315514,https://open.spotify.com/track/2g2ZjM1GjY9Lf2Ff0L94Ul,2018-01-01,br
15,Corpo Sensual,Pabllo Vittar,296590,https://open.spotify.com/track/4kkQGhScJDzNIIGavQE9SN,2018-01-01,br
16,Big Jet Plane,Alok,294098,https://open.spotify.com/track/1xd3OqTbx17HutN7RfJOTj,2018-01-01,br
17,Contrato,Jorge & Mateus,293940,https://open.spotify.com/track/12lOxvml5EBvSCzQll7xVS,2018-01-01,br
18,Abusadamente,MC Gustta,286731,https://open.spotify.com/track/7vgNGxchhqDQWjKjLPTPro,2018-01-01,br
19,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,285290,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA,2018-01-01,br
20,Cê Acredita - Ao Vivo,João Neto & Frederico,272033,https://open.spotify.com/track/5JZlDZzWPbrYwMHmnOQO3U,2018-01-01,br
21,A Mala É Falsa - Ao Vivo,Felipe Araújo,268868,https://open.spotify.com/track/6BPt2sVRvE41rUixcCAHY6,2018-01-01,br
22,Apelido Carinhoso,Gusttavo Lima,258436,https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM,2018-01-01,br
23,Ressaca de Saudade - Ao Vivo,Wesley Safadão,257565,https://open.spotify.com/track/0r0U9AcE4LP0QzJQDUUlXP,2018-01-01,br
24,K.O.,Pabllo Vittar,254703,https://open.spotify.com/track/5zSiXA70xM4kuSt6qim6jl,2018-01-01,br
25,Cara Bacana,MC G15,252242,https://open.spotify.com/track/4BjPsq3MXBNo4Qxg40igEr,2018-01-01,br
26,Sorte Que Cê Beija Bem - Ao Vivo,Maiara & Maraisa,250859,https://open.spotify.com/track/4YV827A7aWVswtyt0eWoWM,2018-01-01,br
27,Havana,Camila Cabello,248618,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,br
28,Azul Piscina,Mc Livinho,242712,https://open.spotify.com/track/7ieFtgZBYSC94nGs5yF0Wk,2018-01-01,br
29,New Rules,Dua Lipa,237848,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,br
30,Never Let Me Go,Alok,235492,https://open.spotify.com/track/06ZpMjkNdIDKVf3mK29UiC,2018-01-01,br
31,Amor Da Sua Cama,Felipe Araújo,228923,https://open.spotify.com/track/2cwFhwT6L2D4Olc25nhyZo,2018-01-01,br
32,Troféu do Ano,Jerry Smith,227007,https://open.spotify.com/track/7CtFr21TzdM4ntuBkwzpxg,2018-01-01,br
33,Pesadão (Participação especial Marcelo Falcão),IZA,225798,https://open.spotify.com/track/1BkyiAw1L0BOHYckwpRX4V,2018-01-01,br
34,Escalada pra Jogar,Henrique & Diego,222905,https://open.spotify.com/track/1m1vw2OQTYHt9AukcIPs8x,2018-01-01,br
35,Quase - Ao Vivo,Cleber & Cauan,221670,https://open.spotify.com/track/1504k2wy349EtgioaW78Ht,2018-01-01,br
36,Shape of You,Ed Sheeran,218394,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,br
37,Olha a Explosão,MC Kevinho,214243,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,br
38,Deixe Me Ir - Acústico,1Kilo,213504,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO,2018-01-01,br
39,Bum Bum Tam Tam,MC Fioti,213321,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,br
40,Transplante,Marília Mendonça,202269,https://open.spotify.com/track/6uyMtLQXZ8amkLyv5l7F7O,2018-01-01,br
41,Eu Vou Te Buscar (Cha La La La La),Gusttavo Lima,200130,https://open.spotify.com/track/5aLvtKo9672scTVdEwXPTg,2018-01-01,br
42,Se é pra Gente Ficar,Solange Almeida,199801,https://open.spotify.com/track/6X5jBkAFu7HE3jigdoVW3r,2018-01-01,br
43,Hear Me Now,Alok,197925,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2018-01-01,br
44,Amante Não Tem Lar - Ao Vivo,Marília Mendonça,193215,https://open.spotify.com/track/6P8v1a8jyfwG5kc7Si1kUp,2018-01-01,br
45,Mulherão da Porra,Munhoz & Mariano,186054,https://open.spotify.com/track/26bMmC90QF0FOd1ctDnkeU,2018-01-01,br
46,rockstar,Post Malone,186047,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,br
47,De Copo Em Copo - Ao Vivo,George Henrique & Rodrigo,182561,https://open.spotify.com/track/1wgD52FywIwdnLdV2Fa8NK,2018-01-01,br
48,Coladinha em Mim - Ao Vivo,Gustavo Mioto,180674,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW,2018-01-01,br
49,Vai Embrazando,Mc Zaac,177260,https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ,2018-01-01,br
50,O Grave Bater,MC Kevinho,169976,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm,2018-01-01,br
51,Paradinha,Anitta,168981,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs,2018-01-01,br
52,Ninguém É de Ferro,Wesley Safadão,161548,https://open.spotify.com/track/1e315r3zQjsng2z952ePQ1,2018-01-01,br
53,Pode Se Soltar,Jerry Smith,160254,https://open.spotify.com/track/2mL3B5GilTm4dUT6P8LVpd,2018-01-01,br
54,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,156697,https://open.spotify.com/track/2d3TbSkAscvT3QRQalq6uT,2018-01-01,br
55,Medida Certa,Jorge & Mateus,156560,https://open.spotify.com/track/44mr3ypWNHa0inr3heiOb2,2018-01-01,br
56,Wolves,Selena Gomez,152535,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-01,br
57,Échame La Culpa,Luis Fonsi,148936,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,br
58,Acordando o Prédio,Luan Santana,147263,https://open.spotify.com/track/40bK2uosUmAS92c17n98xd,2018-01-01,br
59,Tic Tac,Lucas Lucco,145916,https://open.spotify.com/track/3SdYnX1212sx5X0N4Lj3Vb,2018-01-01,br
60,Você Não Vale Nada,Zé Felipe,144361,https://open.spotify.com/track/6EFIK4B0jrvLO096QYEhnX,2018-01-01,br
61,De Trás Pra Frente - Ao Vivo,Henrique & Juliano,143337,https://open.spotify.com/track/2x67AU9q3lf7cfPSzxCDsL,2018-01-01,br
62,Paredes - Ao Vivo,Jorge & Mateus,141989,https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK,2018-01-01,br
63,Despacito - Remix,Luis Fonsi,141906,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2018-01-01,br
64,Esqueci Como Namora,Nego do Borel,140553,https://open.spotify.com/track/6zZw7RPIs3IxDghP4UvWcY,2018-01-01,br
65,What Lovers Do (feat. SZA),Maroon 5,139500,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-01-01,br
