"","genres"
"1","baile pop"
"2","baile pop,brazilian electronica,deep funk carioca"
"3","brazilian electronica,deep funk carioca"
"4","forro"
"5","baile pop"
"6","deep funk carioca"
"7","sertanejo universitario"
"8","baile pop,sertanejo pop,sertanejo universitario"
"9","baile pop,brazilian electronica,deep funk carioca"
"10","brazilian electronica,sertanejo pop,sertanejo universitario"
"11","deep funk carioca"
"12","deep funk carioca"
"13","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"14","sertanejo universitario"
"15","baile pop,pop"
"16","electro house"
"17","sertanejo,sertanejo universitario"
"18","brazilian electronica,deep funk carioca"
"19","dance pop,edm,electro house,moombahton,pop,tropical house"
"20","sertanejo,sertanejo pop,sertanejo universitario"
"21","sertanejo pop,sertanejo universitario"
"22","sertanejo,sertanejo universitario"
"23","forro"
"24","baile pop,pop"
"25","brazilian electronica,deep funk carioca"
"26","sertanejo pop,sertanejo universitario"
"27","dance pop,pop,post-teen pop"
"28","baile pop,brazilian electronica,deep funk carioca"
"29","dance pop,pop,post-teen pop"
"30","electro house"
"31","sertanejo pop,sertanejo universitario"
"32",""
"33","baile pop"
"34","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"35","sertanejo,sertanejo pop,sertanejo universitario"
"36","pop"
"37","deep funk carioca"
"38","brazilian electronica,brazilian hip hop"
"39","deep funk carioca"
"40","sertanejo"
"41","sertanejo,sertanejo universitario"
"42","axe,forro,sertanejo pop"
"43","electro house"
"44","sertanejo"
"45","sertanejo,sertanejo pop,sertanejo universitario"
"46","pop,rap"
"47","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"48","sertanejo,sertanejo pop"
"49","baile pop,brazilian electronica,deep funk carioca"
"50","deep funk carioca"
"51","baile pop"
"52","forro"
"53",""
"54","sertanejo universitario"
"55","sertanejo,sertanejo universitario"
"56","dance pop,pop,post-teen pop"
"57","latin,latin pop"
"58","sertanejo,sertanejo pop,sertanejo universitario"
"59","brazilian electronica,sertanejo pop,sertanejo universitario"
"60","sertanejo pop,sertanejo universitario"
"61","sertanejo universitario"
"62","sertanejo,sertanejo universitario"
"63","latin,latin pop"
"64","baile pop,brazilian electronica,deep funk carioca,funk carioca"
"65","pop"
"66","baile pop,brazilian electronica,deep funk carioca"
"67","pagode,sertanejo,sertanejo pop,sertanejo universitario"
"68","sertanejo,sertanejo pop,sertanejo universitario"
"69","sertanejo"
"70","baile pop,brazilian electronica,deep funk carioca,funk carioca"
