"","differentGenres","freq"
"1","sertanejo universitario",522
"2","pop",421
"3","sertanejo pop",393
"4","sertanejo",341
"5","brazilian electronica",312
"6","deep funk carioca",289
"7","dance pop",221
"8","baile pop",218
"9","post-teen pop",177
"10","edm",93
"11","rap",83
"12","electro house",73
"13","latin",70
"14","tropical house",69
"15","forro",66
"16","",63
"17","pagode",63
"18","hip hop",59
"19","pop rap",55
"20","latin pop",53
"21","reggaeton",53
"22","brazilian hip hop",49
"23","canadian pop",38
"24","big room",35
"25","r&b",34
"26","electropop",33
"27","viral pop",32
"28","funk carioca",24
"29","modern rock",23
"30","trap music",21
"31","axe",20
"32","conscious hip hop",19
"33","rock",19
"34","progressive electro house",18
"35","tropical",18
"36","vegas indie",18
"37","emo rap",12
"38","progressive house",12
"39","southern hip hop",12
"40","west coast rap",10
"41","boy band",9
"42","brostep",9
"43","detroit hip hop",9
"44","egyptian pop",9
"45","g funk",9
"46","house",9
"47","latin hip hop",9
"48","moombahton",9
"49","mpb",9
"50","nova mpb",9
"51","sertanejo tradicional",9
"52","colombian pop",8
"53","indie pop rap",8
"54","k-pop",8
"55","mexican pop",8
"56","deep tropical house",7
"57","complextro",6
"58","german techno",6
"59","indie pop",5
"60","modern alternative rock",5
"61","pinoy hip hop",5
"62","neo-psychedelic",4
"63","baile funk",3
"64","girl group",3
"65","talent show",3
"66","canadian hip hop",2
"67","australian dance",1
"68","australian pop",1
"69","brazilian rock",1
"70","indietronica",1
"71","la indie",1
"72","rock gaucho",1
