"","genres"
"1","latin,latin pop"
"2","reggaeton"
"3","latin,latin pop,reggaeton"
"4","reggaeton,trap latino"
"5","dance pop,latin pop,latin viral pop,pop,reggaeton"
"6","reggaeton,trap latino"
"7","colombian pop,latin,latin pop"
"8","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"9","deep funk carioca"
"10","dance pop,latin,latin pop,pop,tropical"
"11","latin,reggaeton flow,tropical"
"12","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"13","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"14","latin,reggaeton"
"15","bachata,latin,tropical"
"16","colombian pop,latin,tropical"
"17","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"18","latin,latin arena pop,latin pop,mexican pop,pop"
"19","reggaeton"
"20","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"21","baile pop"
"22","latin,latin hip hop,pop,reggaeton,tropical"
"23","dance pop,pop,post-teen pop"
"24","reggaeton,trap latino"
"25","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"26","latin,reggaeton"
"27","pop"
"28","dance pop,pop,post-teen pop"
"29","cumbia chilena"
"30","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"31","deep funk carioca"
"32","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"33","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"34","reggaeton,trap latino"
"35","colombian pop,latin pop"
"36","cumbia chilena"
"37","boy band,latin,latin pop,pop,reggaeton,tropical"
"38","cumbia chilena"
"39","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"40","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"41","reggaeton,trap latino"
"42","reggaeton,trap latino"
"43","latin arena pop,latin pop,latin viral pop,spanish pop"
"44","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"45","colombian pop,latin,latin pop"
"46","reggaeton flow,trap latino"
"47","latin,latin pop"
"48","rap dominicano,reggaeton flow"
"49","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"50","latin,latin pop"
"51","reggaeton,trap latino"
"52","latin,latin hip hop,pop,reggaeton,tropical"
"53","reggaeton flow"
"54","andean,chilean rock,nueva cancion"
"55","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"56","dance pop,electro latino,latin,latin pop,pop,tropical"
"57","cumbia chilena,cumbia villera,tropical"
"58","dance pop,latin,latin pop,mexican pop,tropical"
"59","chicha,cumbia chilena,cumbia villera"
"60","chicha,chilean rock,cumbia chilena,latin alternative,latin rock,nueva cancion"
"61","chilean indie,chilean rock,cumbia chilena,latin rock,nueva cancion"
"62",""
"63","chicha,chilean rock,cumbia chilena,latin alternative,latin rock,nueva cancion"
"64","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"65","cumbia chilena"
"66","dance pop,pop,post-teen pop"
"67","cumbia chilena"
"68","cumbia chilena"
"69","chicha,chilean rock,cumbia chilena,latin alternative,latin rock,nueva cancion"
"70","cumbia chilena,cumbia uruguaya"
"71","latin,reggaeton"
"72","latin,latin hip hop,pop,reggaeton,tropical"
"73","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"74","boy band,latin,latin pop,pop,reggaeton,tropical"
"75","latin,latin hip hop,pop,reggaeton,tropical"
"76",""
"77","cumbia chilena"
"78","pop"
"79","latin,latin hip hop,pop,reggaeton,tropical"
"80","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"81","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"82","cumbia pop"
"83","pop,rap"
"84","chilean rock,cumbia chilena"
"85","cubaton,reggaeton"
"86","chicha,cumbia chilena,cumbia villera"
"87","cumbia chilena"
"88","cumbia chilena,cumbia uruguaya"
"89","boy band,latin,latin pop,pop,reggaeton,tropical"
"90","latin alternative,latin pop"
"91","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"92","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"93","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"94","latin,reggaeton"
"95","cumbia chilena,cumbia uruguaya"
"96",""
"97","cumbia pop"
"98","cumbia chilena"
"99","cumbia chilena,cumbia uruguaya"
"100","latin,latin hip hop,pop,reggaeton,tropical"
"101",""
"102","chicha,cumbia chilena,cumbia villera"
