Position,Track Name,Artist,Streams,URL,Date,Region
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,45506,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,co
2,Robarte un Beso,Carlos Vives,37982,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,co
3,Sensualidad,Bad Bunny,37647,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,co
4,Criminal,Natti Natasha,35377,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,co
5,Me Rehúso,Danny Ocean,31022,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,co
6,Amantes,Greeicy,30907,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,2018-01-01,co
7,Se Preparó,Ozuna,30559,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,co
8,Corazón,Maluma,30132,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,co
9,Quiero Repetir,Ozuna,29416,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,co
10,Cásate Conmigo,Silvestre Dangond,27912,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,2018-01-01,co
11,Échame La Culpa,Luis Fonsi,27522,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,co
12,Esperándote,Manuel Turizo,27332,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,co
13,SUTRA,Sebastian Yatra,26251,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,co
14,Downtown,Anitta,24647,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,co
15,Besame,Valentino,23615,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,2018-01-01,co
16,Báilame - Remix,Nacho,23587,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,co
17,Mayores,Becky G,22998,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,co
18,Mi Gente,J Balvin,22040,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,co
19,Año Nuevo,Billo's Caracas Boys,21824,https://open.spotify.com/track/4AzFIcUwGz04Or4wGpSO3W,2018-01-01,co
20,Escápate Conmigo,Wisin,21578,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,co
21,Bella y Sensual,Romeo Santos,21547,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,co
22,Vivo Pensando En Ti,Felipe Peláez,21499,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774,2018-01-01,co
23,Una Lady Como Tú,Manuel Turizo,21270,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,co
24,Que Va,Alex Sensation,21044,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,co
25,Tabaco y Ron,Rodolfo Aicardi,20712,https://open.spotify.com/track/6xVQAgxCjmn7cRnOpK0AgP,2018-01-01,co
26,Bonita,J Balvin,20329,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,co
27,Shape of You,Ed Sheeran,19432,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,co
28,Felices los 4,Maluma,19091,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,co
29,Olha a Explosão,MC Kevinho,17920,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,co
30,Suena El Dembow,Joey Montana,17881,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,co
31,En Barranquilla Me Quedo,Joe Arroyo,17814,https://open.spotify.com/track/3WXfQDsASfXrSojk9WB3aR,2018-01-01,co
32,Perro Fiel,Shakira,17355,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,co
33,New Rules,Dua Lipa,17269,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,co
34,El Hijo Ausente,Pastor Lopez,16280,https://open.spotify.com/track/5vVMRQKYVfkPlpPMDE0kZH,2018-01-01,co
35,Cinco Pa' las 12,Néstor Zavarce,16271,https://open.spotify.com/track/5fbPZGNwJ622HDVfJDjn6a,2018-01-01,co
36,Los Sabanales,Los Corraleros De Majagual,16086,https://open.spotify.com/track/62glOXkJekmvVxnrOqvMBu,2018-01-01,co
37,El Farsante,Ozuna,16017,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,co
38,Vuelve,Daddy Yankee,15890,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,co
39,Ahora Dice,Chris Jeday,15608,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,co
40,Otra Vez (feat. J Balvin),Zion & Lennox,15469,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,co
41,Si Tú La Ves,Nicky Jam,15049,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,2018-01-01,co
42,El Amante,Nicky Jam,15047,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2018-01-01,co
43,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,14774,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-01-01,co
44,Besándote,Piso 21,14603,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,co
45,Tú Foto,Ozuna,14597,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,co
46,Havana - Remix,Camila Cabello,14527,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,co
47,Explícale,Yandel,14466,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,co
48,Bum Bum Tam Tam,MC Fioti,14384,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,co
49,Víspera de Año Nuevo,Guillermo Buitrago,13963,https://open.spotify.com/track/58KGLc440neSNK458TWwYu,2018-01-01,co
50,Besos En Guerra,Morat,13561,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,2018-01-01,co
51,La Noche,Joe Arroyo,13435,https://open.spotify.com/track/3LyUuxJWLLGxSzel2aDR4W,2018-01-01,co
52,Sobre las Olas,The Latin Brothers,13064,https://open.spotify.com/track/6jly2CevRmnMbmU2R1cm1e,2018-01-01,co
53,Havana,Camila Cabello,12912,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,co
54,Ojitos Hechiceros,Rodolfo Aicardi,12782,https://open.spotify.com/track/3REQ0GINjDaxCgYpP6Dzzx,2018-01-01,co
55,Sigo Extrañándote,J Balvin,12428,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,2018-01-01,co
