"","genres"
"1","colombian pop,latin,latin pop"
"2","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"3","reggaeton,trap latino"
"4","latin,latin pop,reggaeton"
"5","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"6","colombian pop,latin,latin pop"
"7","reggaeton,trap latino"
"8","reggaeton"
"9","reggaeton,trap latino"
"10","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"11","latin,latin pop"
"12","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"13","colombian pop,latin pop"
"14","baile pop"
"15","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"16","dance pop,latin,latin pop,pop,tropical"
"17","dance pop,latin pop,latin viral pop,pop,reggaeton"
"18","latin,reggaeton"
"19",""
"20","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"21","bachata,latin,tropical"
"22","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"23","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"24","latin,reggaeton flow,tropical"
"25","classic colombian pop,cumbia"
"26","latin,reggaeton"
"27","pop"
"28","reggaeton"
"29","deep funk carioca"
"30","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"31","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"32","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"33","dance pop,pop,post-teen pop"
"34","cumbia,tropical"
"35",""
"36","classic colombian pop,cumbia,folclorica"
"37","reggaeton,trap latino"
"38","latin,latin hip hop,pop,reggaeton,tropical"
"39","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"40","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"41","latin,latin hip hop,pop,reggaeton,tropical"
"42","latin,latin hip hop,pop,reggaeton,tropical"
"43","reggaeton flow,trap latino"
"44","colombian pop,latin,latin pop"
"45","reggaeton,trap latino"
"46","dance pop,pop,post-teen pop"
"47","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"48","deep funk carioca"
"49","classic colombian pop,cumbia"
"50","colombian pop,latin,latin pop,rock cristiano"
"51","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"52","boogaloo,cumbia,latin jazz,mambo,tropical"
"53","dance pop,pop,post-teen pop"
"54","classic colombian pop,cumbia"
"55","latin,reggaeton"
"56","boogaloo,cumbia,latin jazz,mambo,salsa,tropical"
"57","classic colombian pop,cumbia"
"58","pop"
"59","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"60","classic colombian pop,cumbia"
"61","porro"
"62","dance pop,pop,post-teen pop"
"63","colombian pop,latin,tropical"
"64","latin,latin pop"
"65","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"66","classic colombian pop,cumbia,folclorica"
"67","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"68","classic colombian pop,cumbia"
"69","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"70","classic colombian pop,cumbia"
"71","cumbia,tropical"
"72",""
"73","classic colombian pop,cumbia,folclorica"
"74","colombian pop,cumbia,latin,latin pop,tropical"
"75",""
"76","latin,latin pop,salsa,tropical"
"77","boogaloo,cumbia,latin jazz,mambo,tropical"
"78","classic colombian pop,cumbia"
"79","pop,rap"
"80","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"81","pop reggaeton"
"82","reggaeton,trap latino"
"83","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"84","reggaeton,trap latino"
"85","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"86","classic colombian pop,cumbia"
"87","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"88","champeta,colombian pop,electro latino,latin,latin pop,pop,tropical"
"89","classic colombian pop,cumbia"
"90","reggaeton"
"91","cumbia"
"92","regional mexican"
"93","latin,salsa,tropical"
"94",""
"95","boy band,latin,latin pop,pop,reggaeton,tropical"
"96","latin,latin hip hop,pop,reggaeton,tropical"
"97","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"98","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"99","colombian pop,latin,latin pop"
"100","cumbia,panamanian pop,vallenato"
"101","cumbia,panamanian pop,vallenato"
"102","latin,latin pop"
"103","cumbia,panamanian pop,vallenato"
"104","classic colombian pop,cumbia,porro"
"105","cumbia,porro"
"106","cumbia"
"107",""
"108","latin,latin pop,salsa,tropical"
"109","cumbia,panamanian pop,vallenato"
"110","dance pop,electro latino,latin,latin pop,pop,tropical"
"111","pop"
"112","latin,latin pop,tropical"
"113","cumbia,porro"
"114","dance pop,latin,latin pop,mexican pop,tropical"
"115",""
"116","boogaloo,cumbia,latin jazz,mambo,salsa,tropical"
"117","reggaeton,trap latino"
"118","boogaloo,latin jazz,mambo,salsa,tropical"
"119","latin,merengue,tropical"
"120","colombian pop,latin pop"
"121","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"122","latin,reggaeton"
"123","classic colombian pop,cumbia"
"124","boogaloo,latin,latin jazz,mambo,salsa,tropical"
"125",""
"126","cumbia,panamanian pop,vallenato"
"127","boy band,latin,latin pop,pop,reggaeton,tropical"
"128",""
"129","latin,reggaeton"
"130","latin,latin hip hop,pop,reggaeton,tropical"
"131","cumbia,tropical"
"132","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"133","latin,latin pop,merengue,panamanian pop,tropical"
"134","bachata,latin,tropical"
"135","cumbia,tropical"
"136","boogaloo,latin jazz,mambo,salsa international,tropical"
"137","cumbia,tropical"
"138","classic colombian pop,cumbia,folclorica"
"139","boogaloo,cumbia,salsa,tropical"
"140","cumbia"
"141","cumbia,tropical"
"142","boogaloo,latin jazz,mambo,salsa,tropical"
"143","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"144","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"145","latin,reggaeton"
"146","vallenato"
"147","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"148","edm,electro house,house,pop,progressive house"
"149","latin arena pop,latin pop,latin viral pop,spanish pop"
"150","cubaton,reggaeton"
"151","colombian pop,latin pop"
"152","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"153","cumbia"
"154","classic colombian pop,cumbia,folclorica"
"155","latin,latin hip hop,pop,reggaeton,tropical"
"156","classic colombian pop,cumbia"
"157","cuban rumba,latin,latin jazz,mambo,salsa,tropical"
"158",""
"159","boogaloo,cumbia,latin jazz,mambo,tropical"
"160",""
"161","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"162","classic colombian pop,cumbia"
"163","latin,latin pop,salsa,tropical"
"164","classic colombian pop,cumbia"
"165","latin,latin pop,salsa,tropical"
"166","cumbia"
"167","chicha,cumbia,porro"
"168","emo rap"
"169",""
"170","latin,latin arena pop,latin pop,mexican pop,pop"
"171","latin,merengue,tropical"
"172","colombian rock,vallenato"
"173","cumbia,porro"
"174","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"175",""
"176","bolero,boogaloo,cuban rumba,cumbia,latin jazz,mambo,salsa,tropical"
"177",""
"178","cumbia"
"179","latin,latin pop,nica,salsa,tropical"
"180","dance pop,latin,latin pop,pop,tropical"
"181","boogaloo,cuban rumba,latin jazz,mambo,salsa international"
"182","boogaloo,cumbia,latin jazz,mambo,salsa,tropical"
"183","porro"
"184","latin,latin pop,salsa,tropical"
"185","latin,latin hip hop,reggaeton,trap latino,tropical"
"186","classic colombian pop,cumbia"
"187","edm,electropop,pop,tropical house"
"188","latin pop,reggaeton"
"189",""
"190","porro"
"191","classic colombian pop,cumbia"
"192","boogaloo,latin jazz,mambo,panamanian pop,salsa,tropical"
"193","colombian pop,cumbia,latin,latin pop,tropical"
"194",""
"195","boogaloo,latin jazz,mambo,tropical"
"196","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"197","boogaloo,latin,latin jazz,mambo,salsa,tropical"
"198","cumbia,tropical"
"199","latin,salsa,tropical"
"200","pop,post-teen pop"
"201","colombian pop,latin,latin pop"
"202","reggaeton,trap latino"
"203","latin,latin pop,reggaeton"
"204","reggaeton"
"205","reggaeton,trap latino"
"206","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"207","colombian pop,latin,latin pop"
"208","reggaeton,trap latino"
"209","baile pop"
"210","latin,latin pop"
"211","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"212","colombian pop,latin pop"
"213","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"214","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"215","dance pop,latin,latin pop,pop,tropical"
"216","bachata,latin,tropical"
"217","dance pop,latin pop,latin viral pop,pop,reggaeton"
"218","latin,reggaeton flow,tropical"
"219","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"220","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"221","pop"
"222","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"223","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"224","latin,reggaeton"
"225","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"226","latin,latin hip hop,pop,reggaeton,tropical"
"227","dance pop,pop,post-teen pop"
"228","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"229","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"230","latin,reggaeton"
"231","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"232","colombian pop,latin,latin pop,rock cristiano"
"233","reggaeton"
"234","reggaeton,trap latino"
"235","deep funk carioca"
"236","reggaeton flow,trap latino"
"237","colombian pop,latin,latin pop"
"238","reggaeton,trap latino"
"239","latin,latin hip hop,pop,reggaeton,tropical"
"240","dance pop,pop,post-teen pop"
"241","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"242","dance pop,pop,post-teen pop"
"243","deep funk carioca"
"244","pop"
"245","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"246","dance pop,pop,post-teen pop"
"247","latin,latin hip hop,pop,reggaeton,tropical"
"248","colombian pop,latin,tropical"
"249","latin,reggaeton"
"250","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"251","champeta,colombian pop,electro latino,latin,latin pop,pop,tropical"
"252","pop"
"253","pop,rap"
"254","colombian pop,cumbia,latin,latin pop,tropical"
"255","reggaeton,trap latino"
"256","dance pop,electro latino,latin,latin pop,pop,tropical"
"257","reggaeton"
"258","reggaeton,trap latino"
"259","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"260","boy band,latin,latin pop,pop,reggaeton,tropical"
"261","latin,latin pop,tropical"
"262","pop reggaeton"
"263","reggaeton,trap latino"
"264","latin,latin pop"
"265","pop,post-teen pop"
"266","colombian pop,latin,latin pop"
"267","latin arena pop,latin pop,latin viral pop,spanish pop"
"268","edm,electro house,house,pop,progressive house"
"269","latin,latin arena pop,latin pop,mexican pop,pop"
"270","latin,latin hip hop,pop,reggaeton,tropical"
"271","bachata,latin,tropical"
"272","emo rap"
"273","latin,reggaeton"
"274","dance pop,electropop,pop,post-teen pop"
"275","edm,electropop,pop,tropical house"
"276","colombian pop,latin pop"
"277","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"278","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"279","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"280","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"281","pop"
"282","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"283","colombian pop,latin,latin pop"
"284","colombian pop,latin pop"
"285","latin,latin hip hop,pop,reggaeton,tropical"
"286","latin pop,reggaeton"
"287","latin,latin hip hop,reggaeton,trap latino,tropical"
"288","boy band,latin,latin pop,pop,reggaeton,tropical"
"289","dance pop,pop,post-teen pop,viral pop"
"290","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"291","latin,reggaeton"
"292","dance pop,edm,electronic trap,pop,tropical house"
"293","modern rock,rock,vegas indie"
"294","pop,post-teen pop"
"295","edm,electropop,pop,tropical house"
"296","regional mexican"
"297","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"298","detroit hip hop,g funk,hip hop,rap"
"299","colombian pop,latin,latin pop"
"300","modern rock,rock,vegas indie"
"301","pop"
"302","latin,latin hip hop,reggaeton,trap latino,tropical"
"303","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"304","dance pop,pop,post-teen pop,viral pop"
"305","canadian pop,pop,rap"
"306","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"307","reggaeton,trap latino"
"308","latin,reggaeton"
"309","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"310","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"311","champeta,colombian pop,electro latino,latin,latin pop,pop,tropical"
"312","edm,pop,tropical house"
"313","canadian pop,dance pop,pop,post-teen pop,viral pop"
"314","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"315",""
"316","boy band,latin,latin pop,pop,reggaeton,tropical"
"317","colombian pop,latin pop"
"318","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"319","hip hop,indie pop rap,pop,pop rap,rap"
"320","latin,latin arena pop,latin pop,spanish pop"
"321","dance pop,latin,latin pop,pop,tropical"
"322","brostep,egyptian pop,pop,progressive electro house"
"323","colombian pop,cumbia,latin,latin pop"
"324","dance pop,pop,post-teen pop"
"325","reggaeton"
"326","pop,post-teen pop"
"327","latin,reggaeton"
"328","reggaeton,trap latino"
"329","reggaeton,trap latino"
"330","colombian pop,cumbia,latin,latin pop,tropical"
"331","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"332","latin pop,reggaeton"
"333","cubaton,reggaeton"
"334","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"335","colombian hip hop,colombian pop,colombian rock,cumbia,latin,latin alternative,latin pop,latin rock"
"336","latin,latin pop"
"337","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"338","rap dominicano,reggaeton flow"
"339","indie pop,modern alternative rock,modern rock,neo-psychedelic"
"340","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"341","grupera,latin,latin arena pop,latin pop,mariachi,mexican pop,ranchera,tropical"
"342","dance pop,dancehall,pop,pop rap"
"343","canadian pop,dance pop,pop,post-teen pop"
"344","pop"
"345","latin,latin alternative,latin pop,latin rock,rock en espanol,spanish pop,spanish rock"
"346","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"347","champeta,colombian pop,electro latino,latin,latin pop,pop,tropical"
"348","dance pop,pop,post-teen pop"
"349","bachata,dance pop,latin,latin pop,pop,tropical"
"350","reggaeton flow,trap latino"
"351","dance pop,pop,post-teen pop,viral pop"
"352","neo soul,pop,r&b,urban contemporary"
"353","dance pop,latin,latin pop,mexican pop,tropical"
"354","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"355","big room,edm,pop,progressive house,tropical house"
"356","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"357","canadian pop,pop,rap"
"358","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"359","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"360","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"361","edm,pop,tropical house"
"362","reggaeton,trap latino"
"363","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"364","australian dance,australian pop,dance pop,pop"
"365","argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino"
"366","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"367","latin,latin hip hop,reggaeton,trap latino,tropical"
"368","latin pop,reggaeton"
"369","permanent wave,pop"
"370","colombian pop,latin,latin pop"
"371","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"372","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"373","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"374","colombian pop,latin,latin pop"
"375","big room,dance pop,edm,pop,tropical house"
"376","dance pop,edm,electro house,moombahton,pop,tropical house"
"377","edm,tropical house"
"378","glam rock,rock"
"379","argentine rock,cantautor,latin alternative,latin rock,rock en espanol,rock nacional"
"380","pop punk,rock"
"381","colombian pop,latin,latin pop,rock cristiano"
"382","colombian pop,latin,latin pop"
"383","dance pop,edm,pop,pop rap"
"384","dance pop,edm,pop"
"385","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"386","dance pop,pop,post-teen pop,tropical house"
"387","pop"
"388","reggaeton"
"389","pop"
"390","reggaeton flow,trap latino"
"391","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"392","canadian pop,dance pop,pop,post-teen pop,viral pop"
"393","hip hop"
"394","conscious hip hop,hip hop,pop rap,rap"
"395","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"396","latin,reggaeton flow,trap latino,tropical"
"397","colombian pop,cumbia,latin,latin pop"
"398","latin,reggaeton flow,trap latino,tropical"
"399","glam metal,hard rock,rock"
"400","canadian pop,dance pop,pop,post-teen pop"
"401","colombian pop,latin,latin pop"
