Position,Track Name,Artist,Streams,URL,Date,Region
1,Criminal,Natti Natasha,24852,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,cr
2,Se Preparó,Ozuna,23554,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,cr
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,20673,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,cr
4,Sensualidad,Bad Bunny,19509,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,cr
5,Quiero Repetir,Ozuna,19433,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,cr
6,Échame La Culpa,Luis Fonsi,18156,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,cr
7,Me Rehúso,Danny Ocean,17754,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,cr
8,Mayores,Becky G,17333,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,cr
9,Olha a Explosão,MC Kevinho,16599,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,cr
10,Corazón,Maluma,16490,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,cr
11,Que Va,Alex Sensation,15675,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,cr
12,Mi Gente,J Balvin,14394,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,cr
13,Robarte un Beso,Carlos Vives,13848,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,cr
14,Escápate Conmigo,Wisin,13695,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,cr
15,Suena El Dembow,Joey Montana,13323,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,cr
16,Perro Fiel,Shakira,11945,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,cr
17,Una Lady Como Tú,Manuel Turizo,11927,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,cr
18,Downtown,Anitta,11908,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,cr
19,El Farsante,Ozuna,11896,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,cr
20,Báilame - Remix,Nacho,11670,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,cr
21,Shape of You,Ed Sheeran,11643,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,cr
22,New Rules,Dua Lipa,11413,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,cr
23,Felices los 4,Maluma,11345,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,cr
24,rockstar,Post Malone,11221,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,cr
25,Bonita,J Balvin,11014,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,cr
26,Bella y Sensual,Romeo Santos,10702,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,cr
27,Tú Foto,Ozuna,10196,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,cr
28,Ahora Dice,Chris Jeday,9980,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,cr
29,3 A.M.,Jesse & Joy,9683,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,cr
30,Havana,Camila Cabello,9590,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,cr
31,SUTRA,Sebastian Yatra,9207,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,cr
32,Vuelve,Daddy Yankee,9077,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,cr
33,Síguelo Bailando,Ozuna,8906,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,cr
34,Despacito (Featuring Daddy Yankee),Luis Fonsi,8620,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,cr
35,Explícale,Yandel,7939,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,cr
36,Havana - Remix,Camila Cabello,7822,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,cr
37,Hey DJ,CNCO,7623,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,cr
38,Loco Enamorado,Abraham Mateo,7539,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,cr
39,What Lovers Do (feat. SZA),Maroon 5,7456,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-01-01,cr
40,Perfect,Ed Sheeran,7316,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-01-01,cr
41,Otra Vez (feat. J Balvin),Zion & Lennox,7315,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,cr
42,Si Tú La Ves,Nicky Jam,6788,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,2018-01-01,cr
43,La Rompe Corazones,Daddy Yankee,6638,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2018-01-01,cr
44,La Modelo,Ozuna,6635,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH,2018-01-01,cr
45,Bum Bum Tam Tam,MC Fioti,6591,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,cr
46,El Año Viejo,Tony Camargo,6570,https://open.spotify.com/track/5PZlMcW7VUlti8IRdApRIn,2018-01-01,cr
47,Too Good At Goodbyes,Sam Smith,6033,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2018-01-01,cr
48,Wolves,Selena Gomez,6006,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-01,cr
49,Gucci Gang,Lil Pump,5958,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2018-01-01,cr
50,Reggaetón Lento (Bailemos),CNCO,5574,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2018-01-01,cr
51,Mamita,CNCO,5569,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,2018-01-01,cr
52,Vivir Mi Vida,Marc Anthony,5316,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,2018-01-01,cr
53,Ahora Me Llama,Karol G,5262,https://open.spotify.com/track/11ZRYISCsAsLyyJo47DudZ,2018-01-01,cr
54,One Dance,Drake,5154,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2018-01-01,cr
55,Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,5115,https://open.spotify.com/track/12H7K15h3aC5vRCaca65el,2018-01-01,cr
56,Despacito - Remix,Luis Fonsi,5089,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2018-01-01,cr
57,Vivo Pensando En Ti,Felipe Peláez,5005,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774,2018-01-01,cr
58,La Bicicleta,Carlos Vives,4877,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2018-01-01,cr
59,Lloraras,Oscar D'León,4871,https://open.spotify.com/track/6QJ1F9DrlsRSmKDcdVS0Oy,2018-01-01,cr
60,El Amante,Nicky Jam,4821,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2018-01-01,cr
61,Chambea,Bad Bunny,4636,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,cr
62,Cómo Te Voy A Olvidar,Los Angeles Azules,4629,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,2018-01-01,cr
63,Dembow,Danny Ocean,4571,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,cr
64,Como Antes,Yandel,4541,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,cr
65,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,4475,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,2018-01-01,cr
66,Valió la Pena - Salsa Version,Marc Anthony,4444,https://open.spotify.com/track/0ueJesXdxikucezsJr2ejB,2018-01-01,cr
67,Closer,The Chainsmokers,4387,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2018-01-01,cr
68,Yo No Sé Mañana (salsa),Luis Enrique,4363,https://open.spotify.com/track/1nZziTuPRwCfJe1XvVC760,2018-01-01,cr
