"","differentGenres","freq"
"1","pop",947
"2","latin",647
"3","latin pop",510
"4","reggaeton",499
"5","dance pop",469
"6","tropical",417
"7","post-teen pop",309
"8","latin hip hop",208
"9","trap latino",207
"10","colombian pop",192
"11","rap",153
"12","edm",131
"13","pop rap",128
"14","tropical house",107
"15","hip hop",97
"16","mexican pop",88
"17","reggaeton flow",72
"18","latin arena pop",62
"19","r&b",62
"20","rock",56
"21","canadian pop",51
"22","viral pop",51
"23","trap music",45
"24","electropop",43
"25","neo mellow",39
"26","latin viral pop",37
"27","pop reggaeton",37
"28","spanish pop",37
"29","vallenato",36
"30","dancehall",35
"31","champeta",31
"32","electro latino",31
"33","bachata",28
"34","boy band",28
"35","rock en espanol",28
"36","southern hip hop",27
"37","progressive house",26
"38","modern rock",25
"39","big room",24
"40","deep funk carioca",23
"41","conscious hip hop",19
"42","latin alternative",19
"43","uk funky",19
"44","brostep",18
"45","electro house",18
"46","electronic trap",18
"47","pop punk",18
"48","urban contemporary",18
"49","vegas indie",18
"50","indie pop rap",16
"51","pop rock",15
"52","cubaton",14
"53","grupera",13
"54","panamanian pop",13
"55","permanent wave",13
"56","regional mexican",12
"57","salsa",12
"58","reggae fusion",10
"59","west coast rap",10
"60","argentine reggae",9
"61","baile pop",9
"62","canadian hip hop",9
"63","deep big room",9
"64","detroit hip hop",9
"65","egyptian pop",9
"66","emo rap",9
"67","g funk",9
"68","glam rock",9
"69","house",9
"70","latin rock",9
"71","moombahton",9
"72","neo soul",9
"73","pinoy hip hop",9
"74","progressive electro house",9
"75","rock cristiano",9
"76","spanish pop rock",9
"77","spanish rock",9
"78","australian dance",8
"79","australian pop",8
"80","glam metal",8
"81","hard rock",8
"82","indie r&b",8
"83","talent show",8
"84","acoustic pop",7
"85","",6
"86","mariachi",6
"87","piano rock",6
"88","ranchera",6
"89","indie pop",5
"90","modern alternative rock",5
"91","britpop",4
"92","madchester",4
"93","neo-psychedelic",4
"94","pop quebecois",4
"95","cumbia",3
"96","latin jazz",3
"97","merengue",3
"98","boogaloo",2
"99","chicago punk",2
"100","emo",2
"101","mambo",2
"102","melodic hardcore",2
"103","nu-cumbia",2
"104","punk",2
"105","roots reggae",2
"106","skate punk",2
"107","broadway",1
"108","cuban rumba",1
"109","cumbia sonidera",1
"110","deep cumbia sonidera",1
"111","hollywood",1
"112","indietronica",1
"113","la indie",1
"114","latin afrobeat",1
"115","lovers rock",1
"116","nica",1
"117","puerto rican rock",1
"118","reggae",1
"119","tico",1
