Position,Track Name,Artist,Streams,URL,Date,Region
1,Sensualidad,Bad Bunny,11815,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,do
2,Criminal,Natti Natasha,10635,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,do
3,La Modelo,Ozuna,9936,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH,2018-01-01,do
4,Limonada Coco - Remix,Musicologo The Libro,9610,https://open.spotify.com/track/1itehVOMz2qYoxf4kKksfd,2018-01-01,do
5,Chambea,Bad Bunny,9600,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,do
6,Se Preparó,Ozuna,9127,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,do
7,Quiero Repetir,Ozuna,7935,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,do
8,Vuelve,Daddy Yankee,7895,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,do
9,Mayores,Becky G,7597,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,do
10,Dale Vieja Dale,Toño Rosario,7388,https://open.spotify.com/track/734vYzX6YKgSDHzXuLQJmg,2018-01-01,do
11,Corazón,Maluma,7368,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,do
12,Marianela,Lirico En La Casa,7212,https://open.spotify.com/track/5AaHjij4q5xMPhOYoanpMP,2018-01-01,do
13,Downtown,Anitta,6437,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,do
14,El Farsante,Ozuna,6425,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,do
15,Échame La Culpa,Luis Fonsi,6323,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,do
16,Síguelo Bailando,Ozuna,6175,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,do
17,Báilame - Remix,Nacho,5999,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,do
18,Suave,El Alfa,5837,https://open.spotify.com/track/6NtlO37F4rjD1Z11jnV1rJ,2018-01-01,do
19,Que Va,Alex Sensation,5683,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,do
20,Escápate Conmigo,Wisin,5547,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,do
21,Me Rehúso,Danny Ocean,5499,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,do
22,El Motorcito,Lirico En La Casa,5456,https://open.spotify.com/track/7GbaRVvQssD6xGizMFJxaY,2018-01-01,do
23,Explícale,Yandel,5231,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,do
24,Bella y Sensual,Romeo Santos,5179,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,do
25,Mi Gente,J Balvin,5096,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,do
26,Pin Pon,Liro Shaq,5061,https://open.spotify.com/track/2zqKBVUZ4qdIchFwNLOWo8,2018-01-01,do
27,Solo,El Nene La amenaza,4964,https://open.spotify.com/track/2rrJfOphzn4uQCK9X0x6R6,2018-01-01,do
28,Ahora Dice,Chris Jeday,4936,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,do
29,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,4858,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,do
30,El Final Remix,Goldy Boy,4799,https://open.spotify.com/track/1U5vNXDtpgrXwhBmyLRbuV,2018-01-01,do
31,"Banda de Camion (feat. Zion, Farruko & Noriel)",El Alfa,4768,https://open.spotify.com/track/06eRaiwwnIrTW34UJs7QTb,2018-01-01,do
32,rockstar,Post Malone,4675,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,do
33,Tú Foto,Ozuna,4595,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,do
34,Robarte un Beso,Carlos Vives,4326,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,do
35,Imitadora,Romeo Santos,4303,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe,2018-01-01,do
36,Bonita,J Balvin,4177,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,do
37,Perro Fiel,Shakira,4151,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,do
38,Felices los 4,Maluma,4108,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,do
39,Como Antes,Yandel,3923,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,do
