"","differentGenres","freq"
"1","latin",697
"2","reggaeton",628
"3","pop",562
"4","tropical",547
"5","trap latino",408
"6","latin pop",345
"7","latin hip hop",313
"8","reggaeton flow",264
"9","dance pop",253
"10","post-teen pop",144
"11","rap dominicano",138
"12","rap",130
"13","dembow",111
"14","colombian pop",96
"15","pop rap",71
"16","hip hop",65
"17","bachata",46
"18","latin arena pop",41
"19","",39
"20","mexican pop",36
"21","trap music",30
"22","viral pop",26
"23","merengue",25
"24","r&b",25
"25","edm",24
"26","electropop",23
"27","latin viral pop",23
"28","salsa",23
"29","spanish pop",22
"30","boy band",21
"31","canadian pop",21
"32","brostep",17
"33","dominican pop",17
"34","indie pop rap",17
"35","electro latino",15
"36","pop reggaeton",15
"37","tropical house",15
"38","conscious hip hop",13
"39","urban contemporary",13
"40","champeta",11
"41","vallenato",11
"42","hollywood",10
"43","baile pop",9
"44","canadian hip hop",9
"45","deep big room",9
"46","deep funk carioca",9
"47","desi",9
"48","desi hip hop",9
"49","detroit hip hop",9
"50","electro house",9
"51","electronic trap",9
"52","emo rap",9
"53","filmi",9
"54","g funk",9
"55","indian pop",9
"56","merengue tipico",9
"57","modern bollywood",9
"58","modern rock",9
"59","moombahton",9
"60","pakistani pop",9
"61","rock",9
"62","southern hip hop",9
"63","sufi",9
"64","vegas indie",9
"65","cumbia",8
"66","egyptian pop",8
"67","latin alternative",8
"68","progressive electro house",8
"69","chilean hardcore",7
"70","west coast rap",7
"71","neo mellow",6
"72","neo soul",4
"73","rock cristiano",4
"74","talent show",4
"75","broadway",3
"76","mambo",3
"77","cantautor",2
"78","deep talent show",2
"79","movie tunes",2
"80","rock en espanol",2
"81","uk funky",2
"82","boogaloo",1
"83","latin jazz",1
"84","mariachi",1
"85","nica",1
"86","pinoy hip hop",1
