Position,Track Name,Artist,Streams,URL,Date,Region
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,13666,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,gt
2,Criminal,Natti Natasha,13095,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,gt
3,Sensualidad,Bad Bunny,11830,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,gt
4,Se Preparó,Ozuna,10183,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,gt
5,Corazón,Maluma,9817,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,gt
6,Que Va,Alex Sensation,9562,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,gt
7,Échame La Culpa,Luis Fonsi,9270,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,gt
8,Mayores,Becky G,8796,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,gt
9,Me Rehúso,Danny Ocean,8768,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,gt
10,Downtown,Anitta,7742,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,gt
11,Suena El Dembow,Joey Montana,7486,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,gt
12,Robarte un Beso,Carlos Vives,7396,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,gt
13,Báilame - Remix,Nacho,7391,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,gt
14,Escápate Conmigo,Wisin,6814,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,gt
15,Vuelve,Daddy Yankee,6706,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,gt
16,Bella y Sensual,Romeo Santos,6582,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,gt
17,SUTRA,Sebastian Yatra,6545,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,gt
18,Quiero Repetir,Ozuna,6415,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,gt
19,Perro Fiel,Shakira,6251,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,gt
20,Bella,Wolfine,5847,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,gt
21,Mi Gente,J Balvin,5533,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,gt
22,Explícale,Yandel,5428,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,gt
23,Bonita,J Balvin,5375,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,gt
24,Felices los 4,Maluma,5347,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,gt
25,Una Lady Como Tú,Manuel Turizo,5296,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,gt
26,3 A.M.,Jesse & Joy,5264,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,gt
27,Ahora Dice,Chris Jeday,5240,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,gt
28,Déjate Llevar,Juan Magán,4885,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,2018-01-01,gt
29,Como Antes,Yandel,4810,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,gt
30,rockstar,Post Malone,4810,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,gt
31,New Rules,Dua Lipa,4743,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,gt
32,Havana - Remix,Camila Cabello,4658,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,gt
33,Tú Foto,Ozuna,4612,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,gt
34,Dembow,Danny Ocean,4519,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,gt
35,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4400,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-01-01,gt
36,Adiós Amor,Christian Nodal,4379,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2018-01-01,gt
37,Esperándote,Manuel Turizo,4280,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,gt
38,Besame,Valentino,4235,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,2018-01-01,gt
39,Loco Enamorado,Abraham Mateo,4229,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,gt
40,El Farsante,Ozuna,4139,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,gt
41,Shape of You,Ed Sheeran,4090,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,gt
42,Chambea,Bad Bunny,3953,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,gt
43,Síguelo Bailando,Ozuna,3924,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,gt
44,Bum Bum Tam Tam,MC Fioti,3764,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,gt
45,What Lovers Do (feat. SZA),Maroon 5,3756,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-01-01,gt
46,GPS,Maluma,3652,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub,2018-01-01,gt
47,Mamita,CNCO,3600,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,2018-01-01,gt
48,Si Tú La Ves,Nicky Jam,3540,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,2018-01-01,gt
49,Otra Vez (feat. J Balvin),Zion & Lennox,3533,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,gt
50,Wolves,Selena Gomez,3451,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-01,gt
51,Havana,Camila Cabello,3342,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,gt
52,Hey DJ,CNCO,3259,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,gt
53,Despacito (Featuring Daddy Yankee),Luis Fonsi,3093,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,gt
54,Besándote,Piso 21,3012,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,gt
55,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,3012,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq,2018-01-01,gt
56,Vivo Pensando En Ti,Felipe Peláez,2871,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774,2018-01-01,gt
57,La Formula (feat. Chris Jeday),De La Ghetto,2761,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT,2018-01-01,gt
58,Mi Mala,Mau y Ricky,2629,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,2018-01-01,gt
59,Bonita - Remix,J Balvin,2525,https://open.spotify.com/track/400nZFg9JEXd9DTBJf1PE3,2018-01-01,gt
60,Todo Comienza en la Disco,Wisin,2499,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh,2018-01-01,gt
