"","genres"
"1","colombian pop,latin,latin pop"
"2","latin,latin pop,reggaeton"
"3","reggaeton,trap latino"
"4","reggaeton,trap latino"
"5","reggaeton"
"6","latin,reggaeton flow,tropical"
"7","latin,latin pop"
"8","dance pop,latin pop,latin viral pop,pop,reggaeton"
"9","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"10","baile pop"
"11","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"12","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"13","dance pop,latin,latin pop,pop,tropical"
"14","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"15","latin,latin hip hop,pop,reggaeton,tropical"
"16","bachata,latin,tropical"
"17","colombian pop,latin pop"
"18","reggaeton,trap latino"
"19","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"20","colombian pop,latin,tropical"
"21","latin,reggaeton"
"22","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"23","latin,reggaeton"
"24","reggaeton"
"25","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"26","latin,latin arena pop,latin pop,mexican pop,pop"
"27","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"28","dance pop,electro latino,latin,latin pop,pop,tropical"
"29","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"30","pop,rap"
"31","dance pop,pop,post-teen pop"
"32","dance pop,pop,post-teen pop"
"33","reggaeton,trap latino"
"34","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"35","reggaeton flow,trap latino"
"36","regional mexican"
"37","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"38","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"39","latin arena pop,latin pop,latin viral pop,spanish pop"
"40","reggaeton,trap latino"
"41","pop"
"42","reggaeton,trap latino"
"43","reggaeton,trap latino"
"44","deep funk carioca"
"45","pop"
"46","reggaeton"
"47","boy band,latin,latin pop,pop,reggaeton,tropical"
"48","latin,latin hip hop,pop,reggaeton,tropical"
"49","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"50","dance pop,pop,post-teen pop"
"51","dance pop,pop,post-teen pop"
"52","boy band,latin,latin pop,pop,reggaeton,tropical"
"53","latin,latin pop"
"54","colombian pop,latin,latin pop"
"55","banda,norteno,regional mexican"
"56","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"57","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"58","latin,latin pop,tropical"
"59","latin,reggaeton"
"60","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"61","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"62","latin,latin hip hop,reggaeton,trap latino,tropical"
"63","regional mexican"
"64","bachata,latin,tropical"
"65","edm,electropop,pop,tropical house"
"66","latin,latin pop"
"67","colombian pop,latin,latin pop"
"68","colombian pop,latin,latin pop,rock cristiano"
"69","latin,latin hip hop,pop,reggaeton,tropical"
"70","latin,reggaeton"
"71","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"72","pop"
"73","latin,latin hip hop,reggaeton,trap latino,tropical"
"74","grupera,nu-cumbia,regional mexican"
"75","emo rap"
"76","latin,latin hip hop,pop,reggaeton,tropical"
"77","grupera,nu-cumbia,regional mexican"
"78","reggaeton,trap latino"
"79","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"80","boy band,latin,latin pop,pop,reggaeton,tropical"
"81","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"82","reggaeton,trap latino"
"83","colombian pop,latin pop"
"84","latin,latin pop,latin viral pop,mexican pop"
"85","banda,norteno,regional mexican"
"86","latin,latin pop,salsa,tropical"
"87","pop,post-teen pop"
"88",""
"89","latin pop,reggaeton"
"90","modern rock,rock,vegas indie"
"91","edm,electropop,pop,tropical house"
"92","pop"
"93","reggaeton"
"94","latin,latin pop,nica,salsa,tropical"
"95","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
"96","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
