Position,Track Name,Artist,Streams,URL,Date,Region
1,Criminal,Natti Natasha,7353,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,hn
2,Sensualidad,Bad Bunny,7277,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,hn
3,Solo,El Nene La amenaza,6224,https://open.spotify.com/track/2rrJfOphzn4uQCK9X0x6R6,2018-01-01,hn
4,Mayores,Becky G,5700,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,hn
5,Me Rehúso,Danny Ocean,5593,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,hn
6,Échame La Culpa,Luis Fonsi,5422,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,hn
7,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,5416,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,hn
8,Se Preparó,Ozuna,5397,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,hn
9,Corazón,Maluma,4996,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,hn
10,Robarte un Beso,Carlos Vives,4937,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,hn
11,Que Va,Alex Sensation,4749,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,hn
12,Báilame - Remix,Nacho,4360,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,hn
13,Vuelve,Daddy Yankee,4298,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,hn
14,Downtown,Anitta,4203,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,hn
15,Mi Gente,J Balvin,3880,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,hn
16,Adiós Amor,Christian Nodal,3865,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2018-01-01,hn
17,Bella y Sensual,Romeo Santos,3864,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,hn
18,Escápate Conmigo,Wisin,3813,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,hn
19,Chambea,Bad Bunny,3433,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,hn
20,Bonita,J Balvin,3401,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,hn
