"","genres"
"1","latin,latin pop,reggaeton"
"2","reggaeton,trap latino"
"3","rap dominicano,reggaeton flow"
"4","dance pop,latin pop,latin viral pop,pop,reggaeton"
"5","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"6","latin,latin pop"
"7","colombian pop,latin,latin pop"
"8","reggaeton,trap latino"
"9","reggaeton"
"10","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"11","latin,reggaeton flow,tropical"
"12","dance pop,latin,latin pop,pop,tropical"
"13","latin,latin hip hop,pop,reggaeton,tropical"
"14","baile pop"
"15","latin,reggaeton"
"16","regional mexican"
"17","bachata,latin,tropical"
"18","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"19","reggaeton,trap latino"
"20","latin,reggaeton"
"21","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"22","reggaeton"
"23","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"24","pop,rap"
"25","colombian pop,latin pop"
"26","dance pop,pop,post-teen pop"
"27","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"28","pop"
"29","reggaeton,trap latino"
"30","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"31","bachata,cubaton,latin,tropical"
"32","reggaeton flow,trap latino"
"33","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"34","dance pop,pop,post-teen pop"
"35","reggaeton,trap latino"
"36","dance pop,pop,post-teen pop"
"37","pop"
"38","deep funk carioca"
"39",""
"40","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"41","pop"
"42","latin,latin pop"
"43","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"44","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"45","reggaeton,trap latino"
"46","emo rap"
"47","latin,latin hip hop,reggaeton,trap latino,tropical"
"48","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"49","dance pop,pop,post-teen pop"
"50","reggaeton"
"51","banda,norteno,regional mexican"
"52","bachata,latin,tropical"
"53","latin pop,reggaeton"
"54","latin,latin hip hop,pop,reggaeton,tropical"
"55","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"56","boy band,latin,latin pop,pop,reggaeton,tropical"
"57","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"58","latin,latin hip hop,reggaeton,trap latino,tropical"
"59","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"60","latin,latin pop,merengue,panamanian pop,tropical"
"61","pop,post-teen pop"
"62","latin,reggaeton"
"63","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"64","banda,norteno,regional mexican"
"65","latin,latin pop"
"66","latin,latin arena pop,latin pop,mexican pop,pop"
"67","banda,norteno,regional mexican"
"68","colombian pop,latin pop"
"69","grupera,nu-cumbia,regional mexican"
"70","reggaeton,trap latino"
"71","reggaeton,trap latino"
"72","reggaeton flow,trap latino"
"73","edm,electropop,pop,tropical house"
"74","latin,latin hip hop,pop,reggaeton,tropical"
"75","latin,merengue,tropical"
"76","cumbia salvadorena,deep cumbia sonidera"
"77","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"78","latin,latin hip hop,pop,reggaeton,tropical"
"79","boy band,latin,latin pop,pop,reggaeton,tropical"
"80","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"81","reggaeton,trap latino"
"82","latin,latin pop,salsa,tropical"
"83","grupera,nu-cumbia,regional mexican"
"84","latin,latin pop,salsa,tropical"
"85","grupera,nu-cumbia,regional mexican"
"86","latin,merengue,tropical"
"87","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"88","banda,regional mexican"
"89","banda,norteno,regional mexican"
"90","banda,norteno,regional mexican"
"91","latin,latin hip hop,reggaeton,trap latino,tropical"
"92","colombian pop,latin,latin pop"
"93","pop,rap"
"94","reggaeton,trap latino"
"95","edm,electropop,pop,tropical house"
"96","colombian pop,latin,tropical"
"97","latin,latin pop,nica,salsa,tropical"
"98","dance pop,dancehall,pop,pop rap"
"99","latin,reggaeton"
"100","reggaeton,trap latino"
"101","dance pop,electropop,pop,post-teen pop"
"102","modern rock,rock,vegas indie"
"103","reggaeton,trap latino"
"104","latin,reggaeton"
"105","regional mexican"
"106","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"107","latin arena pop,latin pop,latin viral pop,spanish pop"
"108","edm,electro house,house,pop,progressive house"
"109","dance pop,latin,latin pop,mexican pop,tropical"
"110",""
"111","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"112","grupera,nu-cumbia,regional mexican"
"113","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"114","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"115","latin,reggaeton"
"116","reggaeton,trap latino"
"117","latin,latin pop,reggaeton"
"118","rap dominicano,reggaeton flow"
"119","colombian pop,latin,latin pop"
"120","reggaeton"
"121","latin,latin pop"
"122","reggaeton,trap latino"
"123","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"124","baile pop"
"125","dance pop,latin pop,latin viral pop,pop,reggaeton"
"126","latin,latin hip hop,pop,reggaeton,tropical"
"127","latin,reggaeton flow,tropical"
