"","differentGenres","freq"
"1","latin",409
"2","reggaeton",383
"3","pop",377
"4","tropical",297
"5","latin pop",254
"6","trap latino",214
"7","latin hip hop",177
"8","dance pop",165
"9","reggaeton flow",96
"10","colombian pop",83
"11","post-teen pop",76
"12","rap",41
"13","regional mexican",41
"14","edm",37
"15","bachata",27
"16","banda",24
"17","electropop",24
"18","mexican pop",24
"19","pop rap",24
"20","latin arena pop",23
"21","latin viral pop",23
"22","hip hop",22
"23","norteno",21
"24","tropical house",21
"25","pop reggaeton",19
"26","vallenato",19
"27","electro house",16
"28","boy band",15
"29","brostep",15
"30","modern rock",13
"31","rock",13
"32","vegas indie",13
"33","electronic trap",11
"34","progressive house",11
"35","champeta",10
"36","baile pop",9
"37","cubaton",9
"38","deep funk carioca",9
"39","emo rap",9
"40","rap dominicano",9
"41","southern hip hop",9
"42","spanish pop",9
"43","trap music",9
"44","deep big room",8
"45","electro latino",8
"46","house",8
"47","moombahton",8
"48","egyptian pop",7
"49","progressive electro house",7
"50","viral pop",7
"51","",6
"52","dancehall",6
"53","canadian pop",5
"54","indie pop rap",5
"55","canadian hip hop",4
"56","detroit hip hop",4
"57","g funk",4
"58","grupera",4
"59","nu-cumbia",4
"60","big room",3
"61","merengue",3
"62","salsa",3
"63","cumbia salvadorena",1
"64","deep cumbia sonidera",1
"65","nica",1
"66","panamanian pop",1
