Position,Track Name,Artist,Streams,URL,Date,Region
1,Corazón,Maluma,357511,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,ar
2,Criminal,Natti Natasha,349829,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,ar
3,Échame La Culpa,Luis Fonsi,325531,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,ar
4,Sensualidad,Bad Bunny,263745,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,ar
5,Se Preparó,Ozuna,253429,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,ar
6,Mayores,Becky G,240922,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,ar
7,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,216310,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,ar
8,Perro Fiel,Shakira,201652,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,ar
9,Que Va,Alex Sensation,199732,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,ar
10,Me Rehúso,Danny Ocean,197256,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,ar
11,Suena El Dembow,Joey Montana,190480,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,ar
12,Báilame - Remix,Nacho,184635,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,ar
13,Downtown,Anitta,181876,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,ar
14,Felices los 4,Maluma,181227,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,ar
15,Mi Gente,J Balvin,164283,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,ar
16,Robarte un Beso,Carlos Vives,157373,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,ar
17,She Don't Give a FO (feat. Khea),Duki,154234,https://open.spotify.com/track/7ehmaSwhEZv4aaJzxsVMGY,2018-01-01,ar
18,Loca,Cazzu,152178,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc,2018-01-01,ar
19,Havana - Remix,Camila Cabello,150035,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,ar
20,Escápate Conmigo,Wisin,148281,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,ar
21,Vuelve,Daddy Yankee,128842,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,ar
22,SUTRA,Sebastian Yatra,127573,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,ar
23,Bella y Sensual,Romeo Santos,126826,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,ar
24,Bonita,J Balvin,126749,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,ar
25,Olha a Explosão,MC Kevinho,119979,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,ar
26,3 A.M.,Jesse & Joy,110117,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,ar
27,Una Lady Como Tú,Manuel Turizo,107481,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,ar
28,Bella,Wolfine,106100,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,ar
29,Despacito (Featuring Daddy Yankee),Luis Fonsi,105034,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,ar
30,Bum Bum Tam Tam,MC Fioti,104757,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,ar
31,Hey DJ,CNCO,102748,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,ar
32,Síguelo Bailando,Ozuna,102082,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,ar
33,Loco Enamorado,Abraham Mateo,102013,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,ar
34,Shape of You,Ed Sheeran,101675,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,ar
35,Hello Cotto,Duki,96935,https://open.spotify.com/track/1tkikMrqW4NvmzIfIyNXw7,2018-01-01,ar
36,Explícale,Yandel,96129,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,ar
37,Ahora Dice,Chris Jeday,93868,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,ar
38,El Farsante,Ozuna,88088,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,ar
39,Quiero Repetir,Ozuna,87682,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,ar
40,New Rules,Dua Lipa,86449,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,ar
41,Tú Foto,Ozuna,85758,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,ar
