"","genres"
"1","reggaeton"
"2","latin,latin pop,reggaeton"
"3","latin,latin pop"
"4","reggaeton,trap latino"
"5","reggaeton,trap latino"
"6","dance pop,latin pop,latin viral pop,pop,reggaeton"
"7","colombian pop,latin,latin pop"
"8","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"9","latin,reggaeton flow,tropical"
"10","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"11","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"12","dance pop,latin,latin pop,pop,tropical"
"13","baile pop"
"14","reggaeton"
"15","latin,reggaeton"
"16","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"17","argentine hip hop,trap argentino"
"18","argentine hip hop,trap argentino,trap latino"
"19","dance pop,pop,post-teen pop"
"20","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"21","latin,latin hip hop,pop,reggaeton,tropical"
"22","colombian pop,latin pop"
"23","bachata,latin,tropical"
"24","latin,reggaeton"
"25","deep funk carioca"
"26","latin,latin arena pop,latin pop,mexican pop,pop"
"27","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"28","colombian pop,latin,tropical"
"29","latin,latin pop"
"30","deep funk carioca"
"31","boy band,latin,latin pop,pop,reggaeton,tropical"
"32","reggaeton,trap latino"
"33","latin arena pop,latin pop,latin viral pop,spanish pop"
"34","pop"
"35","argentine hip hop,trap argentino"
"36","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"37","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"38","reggaeton,trap latino"
"39","reggaeton,trap latino"
"40","dance pop,pop,post-teen pop"
"41","reggaeton,trap latino"
"42","latin,latin hip hop,pop,reggaeton,tropical"
"43","dance pop,pop,post-teen pop"
"44","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"45","argentine hip hop,trap argentino,trap latino"
"46","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"47","latin,latin pop,tropical"
"48","boy band,latin,latin pop,pop,reggaeton,tropical"
"49","argentine hip hop,trap argentino"
"50","electra,latin pop"
"51","cumbia pop"
"52","cuarteto,cumbia pop,cumbia villera"
"53","latin,latin pop"
"54","reggaeton,trap latino"
"55","argentine hip hop,trap argentino"
"56","cumbia chilena,cumbia villera,tropical"
"57","dance pop,latin,latin pop,mexican pop,tropical"
"58","latin,latin hip hop,pop,reggaeton,tropical"
"59","latin,latin hip hop,pop,reggaeton,tropical"
"60","boy band,latin,latin pop,pop,reggaeton,tropical"
"61","colombian pop,latin,latin pop"
"62","cumbia pop"
"63","cumbia pop"
"64","latin,reggaeton"
"65","colombian pop,latin pop"
"66","reggaeton"
"67","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"68","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"69","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"70","cumbia pop,cumbia villera"
"71","colombian pop,latin,latin pop"
"72","pop"
"73","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"74","chicha,cumbia chilena,cumbia villera"
"75","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"76","dance pop,electro latino,latin,latin pop,pop,tropical"
"77","cuarteto,cumbia pop,cumbia villera"
"78","cumbia chilena,cumbia villera"
"79","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"80","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"81","cumbia villera"
"82","cumbia pop"
"83","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"84","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"85","latin,latin pop,latin viral pop,mexican pop"
"86","cumbia pop,cumbia villera"
"87","latin,latin hip hop,reggaeton,trap latino,tropical"
"88","cumbia pop"
"89","pop,rap"
"90","argentine rock,cumbia villera,rock en espanol"
"91","cubaton,reggaeton"
"92","argentine rock,cumbia pop,cumbia villera"
"93","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"94","argentine rock,cuarteto,cumbia pop,cumbia villera"
"95","reggaeton"
"96","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"97","cumbia pop"
"98","dance pop,pop,post-teen pop"
"99","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"100","reggaeton flow,trap latino"
"101","argentine rock,cumbia pop,cumbia villera"
"102","latin,reggaeton"
"103","flamenco,rumba,world"
"104","cumbia pop"
"105","latin,reggaeton"
"106","argentine hip hop,cumbia pop,trap argentino"
"107","chicha,cumbia chilena,cumbia sonidera,cumbia villera"
"108","pop"
"109","argentine rock,cuarteto,cumbia pop,cumbia villera"
"110","flamenco,rumba,world"
"111","chamame,cumbia villera"
"112","latin,latin hip hop,pop,reggaeton,tropical"
"113","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"114","cumbia pop,cumbia villera"
"115","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"116","cumbia pop"
"117","latin pop,reggaeton"
"118","cuarteto,cumbia pop,cumbia villera"
"119","argentine rock,cumbia villera,rock en espanol"
"120","reggaeton flow,trap latino"
"121","argentine hip hop,trap argentino,trap latino"
"122","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"123","cumbia pop"
"124","argentine rock,cuarteto,cumbia pop,cumbia villera"
"125","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"126","boy band,latin,latin pop,pop,reggaeton,tropical"
"127","cuarteto,cumbia villera"
"128","argentine hip hop,trap argentino"
"129","pop"
"130","latin,latin hip hop,pop,reggaeton,tropical"
"131","latin,reggaeton"
"132","cumbia chilena,cumbia villera,tropical"
"133","cumbia chilena,cumbia villera,tropical"
"134","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"135","cumbia pop"
"136","pop"
"137","flamenco,rumba,world"
"138","cumbia pop"
"139","latin,latin hip hop,pop,reggaeton,tropical"
"140","cumbia pop,cumbia villera"
"141","cuarteto"
"142","dance pop,latin,latin pop,mexican pop,tropical"
"143","latin,latin hip hop,pop,reggaeton,tropical"
"144","cumbia pop,cumbia villera"
"145","pop,post-teen pop"
"146","cumbia pop"
"147","deep funk carioca"
"148","reggaeton,trap latino"
"149","cumbia pop,cumbia villera"
"150","argentine rock,folklore argentino,rock en espanol"
"151","reggaeton,trap latino"
"152","colombian pop,latin pop"
"153",""
"154","cumbia pop"
"155","dance pop,latin,latin pop,pop,tropical"
"156","emo rap"
"157","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"158","australian dance,australian pop,dance pop,pop"
"159","cumbia pop"
"160","argentine hip hop,trap argentino,trap latino"
"161","latin,latin hip hop,reggaeton,trap latino,tropical"
"162","latin,latin pop,salsa,tropical"
"163","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"164","edm,electropop,pop,tropical house"
"165","edm,electropop,pop,tropical house"
"166","argentine rock,cumbia pop,cumbia santafesina,cumbia villera"
"167","reggaeton,trap latino"
"168","cumbia pop"
"169","latin,reggaeton flow,trap latino,tropical"
"170","latin arena pop,latin pop,latin viral pop,spanish pop"
"171","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"172","pop,post-teen pop"
"173",""
"174","cumbia paraguaya,cumbia pop,cumbia villera"
"175","reggaeton,trap latino"
"176",""
"177","canadian pop,pop,rap"
"178","cuarteto,cumbia pop,cumbia villera"
"179","baile pop"
"180","chicha,cumbia chilena,cumbia villera"
"181","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"182","cumbia pop,cumbia villera"
"183","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"184","cumbia pop"
"185","cuarteto"
"186","cumbia,cumbia sonidera,grupera,latin pop"
