Position,Track Name,Artist,Streams,URL,Date,Region
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,11090,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,bo
2,Corazón,Maluma,10962,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,bo
3,Criminal,Natti Natasha,9135,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,bo
4,Échame La Culpa,Luis Fonsi,9091,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,bo
5,Sensualidad,Bad Bunny,7884,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,bo
6,Mayores,Becky G,6856,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,bo
7,Me Rehúso,Danny Ocean,6659,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,bo
8,Que Va,Alex Sensation,6513,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,bo
9,Se Preparó,Ozuna,6284,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,bo
10,Suena El Dembow,Joey Montana,6274,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,bo
11,Downtown,Anitta,6140,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,bo
12,Báilame - Remix,Nacho,5412,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,bo
13,Perro Fiel,Shakira,5386,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,bo
14,Robarte un Beso,Carlos Vives,5108,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,bo
15,SUTRA,Sebastian Yatra,4923,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,bo
16,Felices los 4,Maluma,4818,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,bo
17,Escápate Conmigo,Wisin,4724,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,bo
18,Dembow,Danny Ocean,4293,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,bo
19,Mi Gente,J Balvin,4128,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,bo
20,Déjate Llevar,Juan Magán,4080,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,2018-01-01,bo
21,Vuelve,Daddy Yankee,4053,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,bo
22,Una Lady Como Tú,Manuel Turizo,4014,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,bo
23,Mamita,CNCO,3847,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,2018-01-01,bo
24,Bella y Sensual,Romeo Santos,3681,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,bo
25,Esperándote,Manuel Turizo,3652,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,bo
26,Bonita,J Balvin,3637,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,bo
27,Loco Enamorado,Abraham Mateo,3589,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,bo
28,Havana - Remix,Camila Cabello,3494,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,bo
29,Besame,Valentino,3341,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,2018-01-01,bo
30,Shape of You,Ed Sheeran,3318,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,bo
31,Explícale,Yandel,3264,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,bo
32,Bum Bum Tam Tam,MC Fioti,3237,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,bo
33,Bella,Wolfine,3207,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,bo
34,Hey DJ,CNCO,3157,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,bo
35,3 A.M.,Jesse & Joy,3124,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,bo
36,Ahora Dice,Chris Jeday,3071,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,bo
37,Besándote,Piso 21,3054,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,bo
38,New Rules,Dua Lipa,2965,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,bo
