"","genres"
"1","colombian pop,latin,latin pop"
"2","reggaeton"
"3","latin,latin pop,reggaeton"
"4","latin,latin pop"
"5","reggaeton,trap latino"
"6","dance pop,latin pop,latin viral pop,pop,reggaeton"
"7","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"8","latin,reggaeton flow,tropical"
"9","reggaeton,trap latino"
"10","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"11","baile pop"
"12","dance pop,latin,latin pop,pop,tropical"
"13","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"14","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"15","colombian pop,latin pop"
"16","reggaeton"
"17","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"18","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"19","latin,reggaeton"
"20","dance pop,electro latino,latin,latin pop,pop,tropical"
"21","latin,latin hip hop,pop,reggaeton,tropical"
"22","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"23","boy band,latin,latin pop,pop,reggaeton,tropical"
"24","bachata,latin,tropical"
"25","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"26","latin,reggaeton"
"27","latin arena pop,latin pop,latin viral pop,spanish pop"
"28","dance pop,pop,post-teen pop"
"29","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"30","pop"
"31","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"32","deep funk carioca"
"33","colombian pop,latin,tropical"
"34","boy band,latin,latin pop,pop,reggaeton,tropical"
"35","latin,latin arena pop,latin pop,mexican pop,pop"
"36","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"37","colombian pop,latin,latin pop"
"38","dance pop,pop,post-teen pop"
"39","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"40","reggaeton,trap latino"
"41","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"42","latin,latin hip hop,pop,reggaeton,tropical"
"43","pop,rap"
"44","reggaeton"
"45","dance pop,pop,post-teen pop"
"46","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"47","reggaeton,trap latino"
"48","latin,latin pop"
"49","pop"
"50","reggaeton flow,trap latino"
"51","latin,latin pop,tropical"
"52","reggaeton,trap latino"
"53","deep funk carioca"
"54","rap dominicano,reggaeton flow"
"55","dance pop,pop,post-teen pop"
"56","colombian pop,latin,latin pop"
"57","colombian pop,latin pop"
"58","latin,latin pop,latin viral pop,mexican pop"
"59","latin,latin pop"
"60","boy band,latin,latin pop,pop,reggaeton,tropical"
"61","latin,latin hip hop,pop,reggaeton,tropical"
"62","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"63","latin,reggaeton"
"64","pop"
"65","reggaeton,trap latino"
"66","cumbia pop"
"67","emo rap"
"68","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"69","grupera,nu-cumbia,regional mexican"
"70","latin,reggaeton"
"71","cubaton,reggaeton"
"72","edm,electropop,pop,tropical house"
"73","latin,latin hip hop,reggaeton,trap latino,tropical"
"74","latin pop,reggaeton"
"75","latin,latin hip hop,pop,reggaeton,tropical"
"76","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"77","grupera,nu-cumbia,regional mexican"
"78","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"79","dance pop,latin,latin pop,pop,tropical"
"80","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"81","colombian pop,latin pop"
"82","colombian pop,latin,latin pop,rock cristiano"
"83","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"84","dance pop,latin,latin pop,mexican pop,tropical"
"85","latin,latin hip hop,reggaeton,trap latino,tropical"
"86","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"87","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"88","reggaeton,trap latino"
"89","reggaeton"
"90","dance pop,pop,post-teen pop,viral pop"
"91","reggaeton"
"92","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"93","modern rock,rock,vegas indie"
"94","pop,post-teen pop"
"95","reggaeton,trap latino"
"96","dance pop,electropop,pop,post-teen pop"
"97","cumbia pop"
"98","reggaeton"
"99","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"100","pop"
