Position,Track Name,Artist,Streams,URL,Date,Region
1,Échame La Culpa,Luis Fonsi,193739,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,cl
2,Corazón,Maluma,165063,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,cl
3,Criminal,Natti Natasha,161674,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,cl
4,Sensualidad,Bad Bunny,143506,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,cl
5,Mayores,Becky G,138507,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,cl
6,Se Preparó,Ozuna,133059,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,cl
7,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,130126,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,cl
8,Me Rehúso,Danny Ocean,125801,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,cl
9,Olha a Explosão,MC Kevinho,123861,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,cl
10,Báilame - Remix,Nacho,120457,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,cl
11,Que Va,Alex Sensation,114438,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,cl
12,Suena El Dembow,Joey Montana,105744,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,cl
13,Perro Fiel,Shakira,104609,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,cl
14,Mi Gente,J Balvin,103121,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,cl
15,Bella y Sensual,Romeo Santos,95685,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,cl
16,Bella,Wolfine,95561,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,cl
17,Escápate Conmigo,Wisin,94625,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,cl
18,3 A.M.,Jesse & Joy,84226,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,cl
19,Felices los 4,Maluma,81456,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,cl
20,Robarte un Beso,Carlos Vives,79560,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,cl
21,Downtown,Anitta,78581,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,cl
22,Vuelve,Daddy Yankee,73243,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,cl
23,Havana - Remix,Camila Cabello,72125,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,cl
24,Síguelo Bailando,Ozuna,71164,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,cl
25,Como Antes,Yandel,66839,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,cl
26,Bonita,J Balvin,64696,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,cl
27,Shape of You,Ed Sheeran,64322,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,cl
28,New Rules,Dua Lipa,63998,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,cl
29,Deberia odiarte,Noche de Brujas,63293,https://open.spotify.com/track/0mErnrwJUNEMq6X5bu2I0u,2018-01-01,cl
30,Explícale,Yandel,62830,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,cl
31,Bum Bum Tam Tam,MC Fioti,62791,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,cl
32,Todo Comienza en la Disco,Wisin,60920,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh,2018-01-01,cl
33,Una Lady Como Tú,Manuel Turizo,60917,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,cl
34,Quiero Repetir,Ozuna,60376,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,cl
35,SUTRA,Sebastian Yatra,59142,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,cl
36,Me gusta todo de ti,Noche de Brujas,57365,https://open.spotify.com/track/0WBpK4TdYkkRtpYaGixO2x,2018-01-01,cl
37,Hey DJ,CNCO,55163,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,cl
38,Oyeme,Noche de Brujas,54511,https://open.spotify.com/track/0zsbeQtP0KZ9hXabeCHqo2,2018-01-01,cl
39,Ahora Dice,Chris Jeday,53053,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,cl
40,Otra Vez (feat. J Balvin),Zion & Lennox,51071,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,cl
41,Chambea,Bad Bunny,50670,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,cl
42,Tú Foto,Ozuna,50422,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,cl
43,Loco Enamorado,Abraham Mateo,49581,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,cl
44,La Formula (feat. Chris Jeday),De La Ghetto,48173,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT,2018-01-01,cl
45,Besándote,Piso 21,47330,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,cl
