"","differentGenres","freq"
"1","latin",775
"2","pop",671
"3","reggaeton",631
"4","tropical",556
"5","latin pop",549
"6","dance pop",375
"7","trap latino",367
"8","latin hip hop",313
"9","reggaeton flow",235
"10","post-teen pop",167
"11","colombian pop",155
"12","cumbia chilena",120
"13","mexican pop",82
"14","edm",76
"15","latin arena pop",60
"16","chilean rock",54
"17","pop rap",51
"18","tropical house",49
"19","",46
"20","latin viral pop",43
"21","chilean indie",42
"22","spanish pop",39
"23","latin alternative",37
"24","rap",36
"25","canadian pop",34
"26","electro house",34
"27","latin rock",34
"28","boy band",32
"29","pop reggaeton",32
"30","r&b",32
"31","viral pop",32
"32","nueva cancion",28
"33","deep funk carioca",26
"34","electropop",26
"35","vallenato",26
"36","argentine hip hop",25
"37","moombahton",25
"38","trap argentino",25
"39","cumbia pop",23
"40","champeta",18
"41","electro latino",18
"42","rock",18
"43","bachata",17
"44","electronic trap",17
"45","modern rock",17
"46","rap dominicano",17
"47","urban contemporary",16
"48","vegas indie",16
"49","hip hop",15
"50","brostep",13
"51","progressive house",13
"52","cubaton",12
"53","dancehall",12
"54","chicha",11
"55","rock en espanol",11
"56","argentine rock",10
"57","cumbia villera",10
"58","deep big room",10
"59","rock nacional",10
"60","ska argentino",10
"61","baile pop",9
"62","canadian hip hop",9
"63","chillstep",9
"64","emo rap",9
"65","indie poptimism",9
"66","pop quebecois",9
"67","tropical pop edm",9
"68","dembow",8
"69","girl group",8
"70","house",8
"71","pinoy hip hop",8
"72","rock cristiano",8
"73","talent show",8
"74","uk funky",8
"75","big room",6
"76","cumbia uruguaya",6
"77","detroit hip hop",6
"78","g funk",6
"79","spanish pop rock",6
"80","progressive electro house",5
"81","andean",4
"82","egyptian pop",4
"83","cumbia sonidera",2
"84","permanent wave",2
"85","australian dance",1
"86","australian pop",1
"87","canadian contemporary country",1
"88","classic soul",1
"89","contemporary country",1
"90","cumbia",1
"91","folklore chileno",1
"92","funk",1
"93","glam metal",1
"94","grupera",1
"95","hard rock",1
"96","indie pop",1
"97","indietronica",1
"98","la indie",1
"99","latin afrobeat",1
"100","melbourne bounce",1
"101","merengue",1
"102","modern alternative rock",1
"103","motown",1
"104","northern soul",1
"105","puerto rican rock",1
"106","quiet storm",1
"107","salsa",1
"108","soul",1
"109","trap music",1
