"","differentGenres","freq"
"1","latin",870
"2","pop",774
"3","latin pop",695
"4","tropical",573
"5","reggaeton",550
"6","dance pop",409
"7","colombian pop",367
"8","latin hip hop",251
"9","trap latino",211
"10","post-teen pop",182
"11","edm",123
"12","vallenato",110
"13","reggaeton flow",106
"14","cumbia",103
"15","tropical house",95
"16","pop reggaeton",85
"17","champeta",68
"18","rap",68
"19","mexican pop",64
"20","pop rap",61
"21","hip hop",49
"22","canadian pop",46
"23","electro latino",43
"24","latin arena pop",39
"25","rock en espanol",37
"26","viral pop",36
"27","salsa",34
"28","",31
"29","r&b",31
"30","rock",31
"31","latin alternative",29
"32","latin rock",29
"33","electro house",27
"34","bachata",26
"35","boy band",26
"36","boogaloo",25
"37","electropop",25
"38","latin jazz",25
"39","spanish pop",25
"40","modern rock",24
"41","latin viral pop",23
"42","classic colombian pop",22
"43","progressive house",22
"44","deep funk carioca",18
"45","electronic trap",18
"46","brostep",17
"47","rock cristiano",17
"48","cubaton",16
"49","mambo",16
"50","uk funky",16
"51","urban contemporary",16
"52","vegas indie",16
"53","moombahton",15
"54","big room",14
"55","argentine rock",13
"56","indie pop rap",13
"57","rock nacional",13
"58","house",12
"59","colombian rock",11
"60","panamanian pop",10
"61","baile pop",9
"62","canadian hip hop",9
"63","deep big room",9
"64","emo rap",9
"65","regional mexican",9
"66","southern hip hop",9
"67","trap music",9
"68","colombian hip hop",8
"69","dancehall",8
"70","detroit hip hop",8
"71","egyptian pop",8
"72","g funk",8
"73","grupera",8
"74","indie pop",8
"75","mariachi",8
"76","modern alternative rock",8
"77","neo soul",8
"78","neo-psychedelic",8
"79","pinoy hip hop",8
"80","pop quebecois",8
"81","porro",8
"82","progressive electro house",8
"83","ranchera",8
"84","rap dominicano",8
"85","spanish rock",8
"86","glam rock",7
"87","ska argentino",7
"88","australian dance",6
"89","australian pop",6
"90","cantautor",6
"91","permanent wave",6
"92","pop punk",6
"93","folclorica",5
"94","cuban rumba",3
"95","merengue",3
"96","conscious hip hop",2
"97","glam metal",2
"98","hard rock",2
"99","salsa international",2
"100","acoustic pop",1
"101","bolero",1
"102","broadway",1
"103","chicha",1
"104","hollywood",1
"105","neo mellow",1
"106","nica",1
"107","pop rock",1
"108","west coast rap",1
