"","genres"
"1","latin,latin pop,reggaeton"
"2","reggaeton,trap latino"
"3","colombian pop,latin,latin pop"
"4","reggaeton,trap latino"
"5","reggaeton,trap latino"
"6","latin,latin pop"
"7","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"8","dance pop,latin pop,latin viral pop,pop,reggaeton"
"9","deep funk carioca"
"10","reggaeton"
"11","latin,reggaeton flow,tropical"
"12","latin,reggaeton"
"13","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"14","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"15","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"16","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"17","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"18","baile pop"
"19","reggaeton,trap latino"
"20","dance pop,latin,latin pop,pop,tropical"
"21","pop"
"22","dance pop,pop,post-teen pop"
"23","reggaeton"
"24","pop,rap"
"25","latin,reggaeton"
"26","bachata,latin,tropical"
"27","reggaeton,trap latino"
"28","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"29","latin,latin arena pop,latin pop,mexican pop,pop"
"30","dance pop,pop,post-teen pop"
"31","colombian pop,latin pop"
"32","latin,latin hip hop,pop,reggaeton,tropical"
"33","reggaeton,trap latino"
"34","latin,latin pop"
"35","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"36","dance pop,pop,post-teen pop"
"37","boy band,latin,latin pop,pop,reggaeton,tropical"
"38","latin arena pop,latin pop,latin viral pop,spanish pop"
"39","pop"
"40","pop"
"41","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"42","latin,latin hip hop,pop,reggaeton,tropical"
"43","latin,latin hip hop,pop,reggaeton,tropical"
"44","reggaeton,trap latino"
"45","deep funk carioca"
"46",""
"47","pop,post-teen pop"
"48","dance pop,pop,post-teen pop"
"49","emo rap"
"50","boy band,latin,latin pop,pop,reggaeton,tropical"
"51","boy band,latin,latin pop,pop,reggaeton,tropical"
"52","latin,latin pop,salsa,tropical"
"53","latin pop,reggaeton"
"54","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"55","latin,latin pop,salsa,tropical"
"56","latin,latin pop"
"57","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"58","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"59",""
"60","latin,latin hip hop,pop,reggaeton,tropical"
"61","reggaeton,trap latino"
"62","grupera,nu-cumbia,regional mexican"
"63","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"64","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"65","latin,latin hip hop,reggaeton,trap latino,tropical"
"66","latin,latin pop,salsa,tropical"
"67","edm,electropop,pop,tropical house"
"68","latin,latin pop,nica,salsa,tropical"
"69","colombian pop,latin pop"
"70","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"71","bachata,latin,tropical"
"72","latin,reggaeton"
"73","latin,latin hip hop,reggaeton,trap latino,tropical"
"74","reggaeton flow,trap latino"
"75","dance pop,electro latino,latin,latin pop,pop,tropical"
"76","colombian pop,latin,latin pop"
"77","pop,post-teen pop"
"78","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"79","latin,latin pop,tropical"
"80","latin,reggaeton"
"81","latin,latin pop,salsa,tropical"
"82","dance pop,latin,latin pop,mexican pop,tropical"
"83","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"84","colombian pop,latin,latin pop"
"85","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"86","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"87","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"88","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"89",""
"90","cumbia,cumbia sonidera,deep cumbia sonidera"
"91","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"92","edm,electropop,pop,tropical house"
"93","dance pop,electropop,pop,post-teen pop"
"94","conscious hip hop,hip hop,pop rap,rap,west coast rap"
"95","colombian pop,latin,tropical"
"96","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"97","reggaeton,trap latino"
"98","latin,latin hip hop,reggaeton,trap latino,tropical"
"99","pop,post-teen pop"
"100","pop rap,rap,trap music"
"101","grupera,nu-cumbia,regional mexican"
"102","dancehall,reggae fusion"
"103","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"104","australian dance,australian pop,dance pop,pop"
"105","dance pop,pop,post-teen pop,viral pop"
"106","dance pop,latin,latin pop,pop,tropical"
"107","pop"
"108","pop"
"109","pop,rap"
"110","colombian pop,latin,latin pop,rock cristiano"
"111","pop"
"112","reggaeton"
"113","latin,latin pop,salsa,tropical"
"114","cubaton,reggaeton"
"115","dancehall"
"116","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"117","modern rock,rock,vegas indie"
"118","dance pop,dancehall,pop,pop rap"
"119","reggaeton,trap latino"
"120","edm,electro house,house,pop,progressive house"
"121","modern rock,rock,vegas indie"
"122","canadian pop,dance pop,pop,post-teen pop,viral pop"
"123","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
