"","genres"
"1","reggaeton,trap latino"
"2","latin,latin pop,reggaeton"
"3","reggaeton,trap latino"
"4","dembow,rap dominicano"
"5","reggaeton,trap latino"
"6","reggaeton,trap latino"
"7","reggaeton,trap latino"
"8","latin,latin hip hop,pop,reggaeton,tropical"
"9","dance pop,latin pop,latin viral pop,pop,reggaeton"
"10","latin,merengue,tropical"
"11","reggaeton"
"12","dembow,rap dominicano,reggaeton flow"
"13","baile pop"
"14","reggaeton,trap latino"
"15","latin,latin pop"
"16","reggaeton,trap latino"
"17","dance pop,latin,latin pop,pop,tropical"
"18","dembow,latin,rap dominicano,reggaeton flow,tropical"
"19","latin,reggaeton flow,tropical"
"20","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"21","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"22","dembow,rap dominicano,reggaeton flow"
"23","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"24","bachata,latin,tropical"
"25","latin,reggaeton"
"26","dembow,rap dominicano"
"27","rap dominicano,reggaeton flow"
"28","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"29","colombian pop,latin,latin pop"
"30",""
"31","dembow,latin,rap dominicano,reggaeton flow,tropical"
"32","pop,rap"
"33","reggaeton,trap latino"
"34","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"35","bachata,latin,tropical"
"36","latin,reggaeton"
"37","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"38","reggaeton"
"39","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"40","reggaeton"
"41","reggaeton flow,trap latino"
"42","bachata,latin,tropical"
"43","latin,latin hip hop,reggaeton,trap latino,tropical"
"44","latin,latin hip hop,reggaeton,trap latino,tropical"
"45","reggaeton,trap latino"
"46","deep funk carioca"
"47","dance pop,pop,post-teen pop"
"48",""
"49","dance pop,pop,post-teen pop"
"50","latin pop,reggaeton"
"51","reggaeton"
"52","dance pop,pop,post-teen pop"
"53","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"54","latin,latin hip hop,reggaeton,trap latino,tropical"
"55","reggaeton,trap latino"
"56","latin,merengue,merengue tipico,tropical"
"57","emo rap"
"58","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"59","pop"
"60","reggaeton flow,trap latino"
"61","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"62","dembow,rap dominicano"
"63","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"64","latin,mambo,merengue,merengue tipico,tropical"
"65","dembow,rap dominicano"
"66","latin,latin hip hop,pop,reggaeton,tropical"
"67","latin,latin pop"
"68","dance pop,pop,post-teen pop"
"69","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"70","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"71","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"72","bachata,latin,tropical"
"73","reggaeton,trap latino"
"74","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"75","reggaeton,trap latino"
"76","latin,latin hip hop,pop,reggaeton,tropical"
"77","reggaeton,trap latino"
"78","latin,reggaeton flow,trap latino,tropical"
"79",""
"80","colombian pop,latin pop"
"81","reggaeton,trap latino"
"82","latin,salsa,tropical"
"83","latin,latin hip hop,reggaeton,trap latino,tropical"
"84","pop"
"85","pop,post-teen pop"
"86","latin,reggaeton flow,trap latino,tropical"
"87","pop"
"88","reggaeton,trap latino"
"89","dembow,latin,latin hip hop,rap dominicano,tropical"
"90","latin,latin arena pop,latin pop,mexican pop,pop"
"91","latin,merengue,merengue tipico,tropical"
"92","latin,merengue,tropical"
"93","latin,salsa,tropical"
"94","latin,latin hip hop,pop,reggaeton,tropical"
"95","boy band,latin,latin pop,pop,reggaeton,tropical"
"96","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"97","latin,salsa,tropical"
"98","latin,merengue,tropical"
"99","reggaeton,trap latino"
"100","latin,merengue,tropical"
"101","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"102","bachata,latin,tropical"
"103","latin arena pop,latin pop,latin viral pop,spanish pop"
"104","latin,mambo,merengue,merengue tipico,tropical"
"105","reggaeton flow,trap latino"
"106","latin,merengue,tropical"
"107","dembow,rap dominicano"
"108","latin,reggaeton"
"109","boy band,latin,latin pop,pop,reggaeton,tropical"
"110","latin,merengue,merengue tipico,tropical"
"111","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"112","dembow,latin,rap dominicano,reggaeton flow,tropical"
"113",""
"114","latin,reggaeton"
"115","latin,reggaeton"
"116","latin,latin pop"
"117","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"118","pop"
"119","chilean hardcore"
"120","pop,rap"
"121","pop,rap"
"122","reggaeton,trap latino"
"123","reggaeton,trap latino"
"124","reggaeton flow,trap latino"
"125","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"126","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"127","dance pop,electropop,pop,post-teen pop"
"128","pop,rap"
"129","bachata,latin,tropical"
"130","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"131","latin,latin hip hop,reggaeton,trap latino,tropical"
"132",""
"133","latin,latin hip hop,pop,reggaeton,tropical"
"134","latin,merengue,merengue tipico,tropical"
"135","dembow,rap dominicano"
"136","hip hop,indie pop rap,pop,pop rap,rap"
"137","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"138","latin,latin pop,mariachi"
"139","salsa"
"140","latin,merengue,merengue tipico,tropical"
"141","dembow,rap dominicano"
"142","latin,merengue,tropical"
"143","dembow,rap dominicano"
"144",""
"145","dembow,rap dominicano"
"146","bachata,latin,tropical"
"147",""
"148","latin,merengue,tropical"
"149","bachata,latin,tropical"
"150","bachata,latin,tropical"
"151","boy band,latin,latin pop,pop,reggaeton,tropical"
"152","latin pop,reggaeton"
"153",""
"154","reggaeton,trap latino"
"155","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"156","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"157","latin,latin pop,salsa,tropical"
"158","dembow,latin,rap dominicano,reggaeton flow,tropical"
"159","latin,latin hip hop,pop,reggaeton,tropical"
"160",""
"161","latin hip hop,reggaeton flow,trap latino,tropical"
"162",""
"163","rap dominicano,reggaeton flow"
"164","bachata,latin,tropical"
"165","dembow,latin,rap dominicano,reggaeton flow,tropical"
"166","boogaloo,latin jazz,mambo,salsa,tropical"
"167","colombian pop,latin,latin pop"
"168","dominican pop"
"169","latin,merengue,merengue tipico,tropical"
"170",""
"171","dembow,latin,rap dominicano,reggaeton flow,tropical"
"172","latin,latin pop,salsa,tropical"
"173","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"174","detroit hip hop,g funk,hip hop,rap"
"175",""
"176","pop rap,rap,trap music"
"177","bachata,dance pop,latin,latin pop,pop,tropical"
"178","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"179","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"180","dance pop,latin,latin pop,mexican pop,tropical"
"181","rap dominicano,reggaeton flow"
"182","edm,electropop,pop,tropical house"
"183","latin,merengue,merengue tipico,tropical"
"184","reggaeton,trap latino"
"185","latin,salsa,tropical"
"186","latin,latin pop,nica,salsa,tropical"
"187","latin,latin pop,salsa,tropical"
"188","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"189","latin,latin pop,salsa,tropical"
"190","latin,latin pop,tropical"
"191","colombian pop,latin,latin pop"
"192","desi,desi hip hop,filmi,indian pop,modern bollywood,pakistani pop,sufi"
"193","reggaeton"
"194","dance pop,electro latino,latin,latin pop,pop,tropical"
"195","pop,rap"
"196","latin,merengue,tropical"
"197","salsa,tropical"
"198","bachata,cumbia,dominican pop,latin,latin alternative,latin pop"
"199","reggaeton,trap latino"
"200","modern rock,rock,vegas indie"
"201","reggaeton,trap latino"
"202","reggaeton,trap latino"
"203","latin,latin pop,reggaeton"
"204","reggaeton,trap latino"
"205","reggaeton,trap latino"
"206","dembow,rap dominicano"
"207","latin,latin hip hop,pop,reggaeton,tropical"
"208","reggaeton,trap latino"
"209","reggaeton"
"210","baile pop"
"211","dance pop,latin pop,latin viral pop,pop,reggaeton"
"212","latin,latin pop"
"213","reggaeton,trap latino"
"214","reggaeton,trap latino"
"215","dance pop,latin,latin pop,pop,tropical"
"216","colombian pop,latin,latin pop"
"217","latin,reggaeton flow,tropical"
"218","dembow,latin,rap dominicano,reggaeton flow,tropical"
"219","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"220","dembow,rap dominicano,reggaeton flow"
"221","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"222","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"223","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"224","pop,rap"
"225","rap dominicano,reggaeton flow"
"226",""
"227","bachata,latin,tropical"
