Position,Track Name,Artist,Streams,URL,Date,Region
1,Échame La Culpa,Luis Fonsi,26459,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,ec
2,Corazón,Maluma,25743,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,ec
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,24315,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,ec
4,Criminal,Natti Natasha,22060,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,ec
5,Mayores,Becky G,18587,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,ec
6,Sensualidad,Bad Bunny,18328,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,ec
7,Robarte un Beso,Carlos Vives,18272,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,ec
8,Que Va,Alex Sensation,15975,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,ec
9,Downtown,Anitta,15713,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,ec
10,Me Rehúso,Danny Ocean,15618,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,ec
11,Se Preparó,Ozuna,15488,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,ec
12,Suena El Dembow,Joey Montana,15026,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,ec
13,Báilame - Remix,Nacho,14715,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,ec
14,Perro Fiel,Shakira,14016,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,ec
15,Bella,Wolfine,13464,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,ec
16,SUTRA,Sebastian Yatra,13455,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,ec
17,Olha a Explosão,MC Kevinho,12388,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,ec
18,Felices los 4,Maluma,11391,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,ec
19,Cásate Conmigo,Silvestre Dangond,11131,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,2018-01-01,ec
20,Besame,Valentino,11127,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,2018-01-01,ec
21,Escápate Conmigo,Wisin,10995,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,ec
22,Vivo Pensando En Ti,Felipe Peláez,10822,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774,2018-01-01,ec
23,Una Lady Como Tú,Manuel Turizo,10766,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,ec
24,Bella y Sensual,Romeo Santos,10536,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,ec
25,Mi Gente,J Balvin,10475,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,ec
26,Scooby Doo Pa Pa,Dj Kass,9879,https://open.spotify.com/track/1xndOD8CreR5ctkOv5G1LN,2018-01-01,ec
27,Bonita,J Balvin,9870,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,ec
28,Loco Enamorado,Abraham Mateo,9309,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,ec
29,Déjate Llevar,Juan Magán,8995,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,2018-01-01,ec
30,Havana - Remix,Camila Cabello,8948,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,ec
31,3 A.M.,Jesse & Joy,8916,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,ec
32,Vuelve,Daddy Yankee,8654,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,ec
33,Shape of You,Ed Sheeran,8338,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,ec
34,Bum Bum Tam Tam,MC Fioti,8335,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,ec
35,Esperándote,Manuel Turizo,8102,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,ec
36,Si Tú La Ves,Nicky Jam,7875,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,2018-01-01,ec
37,Hey DJ,CNCO,7423,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,ec
38,Como Antes,Yandel,7368,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,ec
39,Ahora Dice,Chris Jeday,7252,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,ec
40,New Rules,Dua Lipa,7248,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,ec
41,Despacito (Featuring Daddy Yankee),Luis Fonsi,7214,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,ec
42,Besos En Guerra,Morat,7069,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,2018-01-01,ec
43,Mi Mala,Mau y Ricky,7063,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,2018-01-01,ec
44,Solo,El Nene La amenaza,6583,https://open.spotify.com/track/2rrJfOphzn4uQCK9X0x6R6,2018-01-01,ec
45,Havana,Camila Cabello,6511,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,ec
46,Explícale,Yandel,6290,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,ec
47,Mamita,CNCO,6197,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,2018-01-01,ec
48,Tú Foto,Ozuna,6172,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,ec
49,Besándote,Piso 21,6109,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,ec
50,Dembow,Danny Ocean,6081,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,ec
51,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5428,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-01-01,ec
52,Por Hacerme el Bueno,Bacilos,5161,https://open.spotify.com/track/5kTBmo3zNcnlm6saZRFrHR,2018-01-01,ec
53,Otra Vez (feat. J Balvin),Zion & Lennox,5145,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,ec
54,Loca (feat. Cali Y El Dandee),Maite Perroni,4961,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x,2018-01-01,ec
55,Perfect,Ed Sheeran,4895,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-01-01,ec
56,Quiero Repetir,Ozuna,4842,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,ec
57,Báilame,Nacho,4629,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2018-01-01,ec
