"","genres"
"1","latin,latin pop"
"2","reggaeton"
"3","colombian pop,latin,latin pop"
"4","latin,latin pop,reggaeton"
"5","dance pop,latin pop,latin viral pop,pop,reggaeton"
"6","reggaeton,trap latino"
"7","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"8","latin,reggaeton flow,tropical"
"9","baile pop"
"10","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"11","reggaeton,trap latino"
"12","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"13","dance pop,latin,latin pop,pop,tropical"
"14","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"15","colombian pop,latin,tropical"
"16","colombian pop,latin pop"
"17","deep funk carioca"
"18","reggaeton"
"19","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"20","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"21","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"22","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"23","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"24","bachata,latin,tropical"
"25","latin,reggaeton"
"26","chilean hardcore"
"27","latin,reggaeton"
"28","latin arena pop,latin pop,latin viral pop,spanish pop"
"29","dance pop,electro latino,latin,latin pop,pop,tropical"
"30","dance pop,pop,post-teen pop"
"31","latin,latin arena pop,latin pop,mexican pop,pop"
"32","latin,latin hip hop,pop,reggaeton,tropical"
"33","pop"
"34","deep funk carioca"
"35","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"36","latin,latin hip hop,pop,reggaeton,tropical"
"37","boy band,latin,latin pop,pop,reggaeton,tropical"
"38","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"39","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"40","dance pop,pop,post-teen pop"
"41","latin,latin pop"
"42","colombian pop,latin,latin pop,rock cristiano"
"43","latin,latin pop,tropical"
"44","rap dominicano,reggaeton flow"
"45","dance pop,pop,post-teen pop"
"46","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"47","boy band,latin,latin pop,pop,reggaeton,tropical"
"48","reggaeton,trap latino"
"49","colombian pop,latin,latin pop"
"50","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"51","reggaeton flow,trap latino"
"52","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"53","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"54","latin,latin pop,latin viral pop,mexican pop"
"55","pop"
"56","reggaeton,trap latino"
"57","dance pop,latin,latin pop,pop,tropical"
"58","colombian pop,cumbia,latin,latin pop,tropical"
"59","reggaeton,trap latino"
"60","pop"
"61","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"62","colombian pop,latin,latin pop"
"63","latin,latin hip hop,pop,reggaeton,tropical"
"64","latin,latin pop"
"65","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"66","pop,rap"
"67","boy band,latin,latin pop,pop,reggaeton,tropical"
"68","colombian pop,latin pop"
"69","reggaeton"
"70","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"71","dance pop,pop,post-teen pop"
"72","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"73","cubaton,reggaeton"
"74","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"75","latin,reggaeton"
"76","reggaeton,trap latino"
"77","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"78","colombian pop,latin pop"
"79","colombian pop,latin,latin pop"
"80","latin,reggaeton"
"81","reggaeton,trap latino"
"82","latin,latin hip hop,pop,reggaeton,tropical"
"83","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"84","dance pop,latin,latin pop,mexican pop,tropical"
"85","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"86","grupera,latin,latin arena pop,latin pop,mariachi,mexican pop,ranchera,tropical"
"87","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"88","emo rap"
"89","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"90","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"91","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"92","bachata,latin,tropical"
"93","latin,latin pop,salsa,tropical"
"94","dance pop,pop,post-teen pop,viral pop"
"95","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
