"","differentGenres","freq"
"1","latin",908
"2","pop",835
"3","latin pop",788
"4","tropical",548
"5","reggaeton",525
"6","dance pop",453
"7","colombian pop",363
"8","latin hip hop",214
"9","post-teen pop",204
"10","trap latino",171
"11","edm",125
"12","mexican pop",109
"13","tropical house",87
"14","pop rap",82
"15","reggaeton flow",80
"16","latin arena pop",74
"17","champeta",65
"18","vallenato",65
"19","spanish pop",59
"20","rap",57
"21","pop reggaeton",54
"22","rock en espanol",46
"23","electro latino",45
"24","latin viral pop",45
"25","r&b",44
"26","rock cristiano",43
"27","cumbia",41
"28","viral pop",41
"29","canadian pop",40
"30","hip hop",39
"31","electropop",37
"32","boy band",35
"33","rock",34
"34","latin alternative",32
"35","latin rock",30
"36","modern rock",28
"37","deep funk carioca",27
"38","electro house",26
"39","salsa",26
"40","urban contemporary",26
"41","bachata",23
"42","big room",22
"43","progressive house",20
"44","electronic trap",18
"45","vegas indie",18
"46","brostep",17
"47","spanish rock",16
"48","talent show",15
"49","cubaton",12
"50","permanent wave",12
"51","baile pop",11
"52","neo mellow",11
"53","uk funky",11
"54","indie pop",10
"55","modern alternative rock",10
"56","pop quebecois",10
"57","",9
"58","canadian hip hop",9
"59","chilean hardcore",9
"60","colombian rock",9
"61","dancehall",9
"62","deep big room",9
"63","detroit hip hop",9
"64","ecuadorian pop",9
"65","emo rap",9
"66","g funk",9
"67","girl group",9
"68","grupera",9
"69","house",9
"70","mariachi",9
"71","moombahton",9
"72","neo-psychedelic",9
"73","pinoy hip hop",9
"74","ranchera",9
"75","rap dominicano",9
"76","spanish pop rock",9
"77","chillstep",8
"78","egyptian pop",8
"79","indie pop rap",8
"80","indie poptimism",8
"81","neo soul",8
"82","pop punk",8
"83","progressive electro house",8
"84","southern hip hop",8
"85","trap music",8
"86","tropical pop edm",8
"87","argentine rock",5
"88","boogaloo",5
"89","latin jazz",5
"90","rock nacional",5
"91","cantautor",4
"92","mambo",3
"93","album rock",2
"94","art rock",2
"95","britpop",2
"96","classic rock",2
"97","conscious hip hop",2
"98","dance rock",2
"99","glam rock",2
"100","madchester",2
"101","mellow gold",2
"102","merengue",2
"103","new wave",2
"104","nica",2
"105","soft rock",2
"106","west coast rap",2
"107","australian dance",1
"108","australian pop",1
"109","cumbia pop",1
"110","glam metal",1
"111","hard rock",1
"112","indietronica",1
"113","la indie",1
"114","ska argentino",1
