"","differentGenres","freq"
"1","pop",852
"2","latin",758
"3","reggaeton",606
"4","latin pop",574
"5","tropical",530
"6","dance pop",415
"7","trap latino",286
"8","latin hip hop",278
"9","post-teen pop",211
"10","colombian pop",199
"11","edm",185
"12","reggaeton flow",136
"13","tropical house",131
"14","rap",118
"15","latin arena pop",91
"16","pop rap",89
"17","mexican pop",75
"18","hip hop",68
"19","big room",57
"20","regional mexican",50
"21","latin viral pop",45
"22","canadian pop",43
"23","electropop",43
"24","spanish pop",43
"25","progressive house",42
"26","viral pop",41
"27","rock en espanol",38
"28","pop reggaeton",37
"29","r&b",37
"30","vallenato",35
"31","boy band",32
"32","bachata",29
"33","electronic trap",29
"34","banda",26
"35","norteno",24
"36","modern rock",22
"37","cantautor",20
"38","electro latino",20
"39","rock",20
"40","champeta",19
"41","electro house",19
"42","brostep",18
"43","rock cristiano",18
"44","vegas indie",18
"45","conscious hip hop",17
"46","trap music",17
"47","indie pop rap",16
"48","grupera",15
"49","uk funky",14
"50","deep funk carioca",13
"51","urban contemporary",13
"52","talent show",12
"53","cubaton",10
"54","house",10
"55","west coast rap",10
"56","baile pop",9
"57","canadian hip hop",9
"58","deep big room",9
"59","detroit hip hop",9
"60","egyptian pop",9
"61","emo rap",9
"62","g funk",9
"63","girl group",9
"64","mariachi",9
"65","moombahton",9
"66","neo mellow",9
"67","progressive electro house",9
"68","ranchera",9
"69","rap dominicano",9
"70","southern hip hop",9
"71","latin alternative",8
"72","permanent wave",8
"73","pinoy hip hop",8
"74","spanish pop rock",8
"75","chillstep",7
"76","indie poptimism",7
"77","tropical pop edm",7
"78","complextro",6
"79","german techno",6
"80","nu-cumbia",6
"81","salsa",6
"82","indie pop",4
"83","modern alternative rock",4
"84","neo soul",4
"85","",3
"86","indie r&b",3
"87","merengue",3
"88","neo-psychedelic",3
"89","broadway",2
"90","hollywood",2
"91","motown",2
"92","nica",2
"93","australian dance",1
"94","australian pop",1
"95","classic soul",1
"96","cumbia",1
"97","dancehall",1
"98","disco",1
"99","funk",1
"100","indietronica",1
"101","la indie",1
"102","mellow gold",1
"103","northern soul",1
"104","panamanian pop",1
"105","pop punk",1
"106","pop quebecois",1
"107","quiet storm",1
"108","soft rock",1
"109","soul",1
