"","differentGenres","freq"
"1","latin",827
"2","pop",760
"3","latin pop",672
"4","reggaeton",611
"5","tropical",570
"6","dance pop",411
"7","latin hip hop",251
"8","trap latino",249
"9","colombian pop",246
"10","post-teen pop",199
"11","pop reggaeton",164
"12","reggaeton flow",129
"13","mexican pop",114
"14","edm",99
"15","tropical house",77
"16","cubaton",73
"17","latin arena pop",70
"18","rock en espanol",66
"19","pop rap",59
"20","latin alternative",52
"21","vallenato",49
"22","latin viral pop",45
"23","latin rock",42
"24","champeta",40
"25","r&b",38
"26","spanish pop",38
"27","electropop",37
"28","boy band",36
"29","viral pop",36
"30","rap",34
"31","electro latino",32
"32","peruvian rock",31
"33","canadian pop",30
"34","bachata",27
"35","cumbia peruana",25
"36","cumbia",23
"37","electronic trap",21
"38","modern rock",19
"39","progressive house",19
"40","rock",19
"41","deep funk carioca",18
"42","electro house",18
"43","argentine rock",17
"44","rock nacional",17
"45","spanish rock",17
"46","urban contemporary",16
"47","hip hop",15
"48","salsa",15
"49","vegas indie",15
"50","",14
"51","argentine hip hop",12
"52","trap argentino",12
"53","permanent wave",11
"54","pop quebecois",11
"55","big room",10
"56","baile pop",9
"57","brostep",9
"58","canadian hip hop",9
"59","dancehall",9
"60","deep big room",9
"61","emo rap",9
"62","girl group",9
"63","house",9
"64","moombahton",9
"65","pinoy hip hop",9
"66","rap dominicano",9
"67","rock cristiano",9
"68","ska argentino",9
"69","talent show",9
"70","cantautor",8
"71","mexican rock",8
"72","uk funky",8
"73","detroit hip hop",6
"74","g funk",6
"75","alternative rock",3
"76","art rock",3
"77","melancholia",3
"78","spanish pop rock",3
"79","boogaloo",2
"80","chillstep",2
"81","indie poptimism",2
"82","latin jazz",2
"83","tropical pop edm",2
"84","australian dance",1
"85","australian pop",1
"86","cumbia chilena",1
"87","cumbia villera",1
"88","hip hop tuga",1
"89","indie pop",1
"90","indietronica",1
"91","la indie",1
"92","mambo",1
"93","merengue",1
"94","modern alternative rock",1
"95","nica",1
