"","genres"
"1","latin,latin pop,reggaeton"
"2","reggaeton"
"3","colombian pop,latin,latin pop"
"4","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"5","dance pop,latin,latin pop"
"6","reggaeton,trap latino"
"7","colombian pop,latin,tropical"
"8","dance pop,latin pop,latin viral pop,pop,reggaeton"
"9","reggaeton,trap latino"
"10","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"11","baile pop"
"12","latin,reggaeton flow,tropical"
"13","latin,reggaeton"
"14","latin,reggaeton"
"15","dance pop,pop,post-teen pop"
"16","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"17","reggaeton"
"18","colombian pop"
"19","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"20","dance pop,latin,latin pop,pop,tropical"
"21","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"22",""
"23","reggaeton"
"24","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"25","regional mexican"
"26","pop,rap"
"27","pop"
"28","dance pop,pop,post-teen pop"
"29","latin,latin arena pop,latin pop,mexican pop,pop"
"30","regional mexican"
"31","pop"
"32","dance pop,pop,post-teen pop"
"33","dance pop,latin,latin pop"
"34","latin,latin hip hop,pop,reggaeton,tropical"
"35","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"36",""
"37","bachata,latin,tropical"
"38","reggaeton,trap latino"
"39","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"40","reggaeton,trap latino"
"41","dance pop,pop,post-teen pop"
"42","latin,latin hip hop,pop,reggaeton,tropical"
"43","emo rap"
"44","dance pop,latin,latin pop"
"45","dance pop,latin,latin pop,mexican pop,tropical"
"46","boy band,latin,latin pop,pop,reggaeton,tropical"
"47","pop"
"48","colombian pop,latin,latin pop,rock cristiano"
"49","modern rock,rock,vegas indie"
"50","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"51","deep funk carioca"
"52","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"53","bolero,latin,latin pop,mariachi"
"54","grupera,latin,latin arena pop,latin pop,mexican pop"
"55","grupera,nu-cumbia,regional mexican"
