Position,Track Name,Artist,Streams,URL,Date,Region
1,Sensualidad,Bad Bunny,11650,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,pa
2,Criminal,Natti Natasha,11288,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,pa
3,Échame La Culpa,Luis Fonsi,10848,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,pa
4,Se Preparó,Ozuna,9719,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,pa
5,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,9419,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,pa
6,Mayores,Becky G,9087,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,pa
7,Corazón,Maluma,8945,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,pa
8,Suena El Dembow,Joey Montana,8540,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,pa
9,Que Va,Alex Sensation,8268,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,pa
10,Downtown,Anitta,8040,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,pa
11,Robarte un Beso,Carlos Vives,7741,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,pa
12,Me Rehúso,Danny Ocean,7624,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,pa
13,Báilame - Remix,Nacho,7593,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,pa
14,Quiero Repetir,Ozuna,6709,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,pa
15,Perro Fiel,Shakira,6567,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,pa
16,Escápate Conmigo,Wisin,6374,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,pa
17,Síguelo Bailando,Ozuna,6373,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,pa
18,Vuelve,Daddy Yankee,6330,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,pa
19,Bella y Sensual,Romeo Santos,6291,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,pa
20,Mi Gente,J Balvin,6025,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,pa
21,Chambea,Bad Bunny,5539,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,pa
22,Felices los 4,Maluma,5218,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,pa
23,Havana - Remix,Camila Cabello,5159,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,pa
24,Bum Bum Tam Tam,MC Fioti,5062,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,pa
25,Ahora Dice,Chris Jeday,4987,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,pa
26,rockstar,Post Malone,4977,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,pa
27,SUTRA,Sebastian Yatra,4902,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,pa
28,Tú Foto,Ozuna,4836,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,pa
29,La Modelo,Ozuna,4805,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH,2018-01-01,pa
30,El Farsante,Ozuna,4707,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,pa
31,Una Lady Como Tú,Manuel Turizo,4656,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,pa
32,Bonita,J Balvin,4559,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,pa
33,New Rules,Dua Lipa,4518,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,pa
