"","genres"
"1","reggaeton,trap latino"
"2","latin,latin pop,reggaeton"
"3","latin,latin pop"
"4","reggaeton,trap latino"
"5","colombian pop,latin,latin pop"
"6","dance pop,latin pop,latin viral pop,pop,reggaeton"
"7","reggaeton"
"8","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"9","latin,reggaeton flow,tropical"
"10","baile pop"
"11","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"12","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"13","dance pop,latin,latin pop,pop,tropical"
"14","reggaeton,trap latino"
"15","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"16","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"17","reggaeton,trap latino"
"18","latin,latin hip hop,pop,reggaeton,tropical"
"19","bachata,latin,tropical"
"20","latin,reggaeton"
"21","reggaeton,trap latino"
"22","reggaeton"
"23","dance pop,pop,post-teen pop"
"24","deep funk carioca"
"25","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"26","pop,rap"
"27","colombian pop,latin pop"
"28","reggaeton,trap latino"
"29","reggaeton,trap latino"
"30","reggaeton,trap latino"
"31","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"32","latin,reggaeton"
"33","dance pop,pop,post-teen pop"
"34","dance pop,pop,post-teen pop"
"35","pop"
"36","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"37","latin,latin arena pop,latin pop,mexican pop,pop"
"38","deep funk carioca"
"39","afrobeats,afropop,nigerian hip hop"
"40","latin arena pop,latin pop,latin viral pop,spanish pop"
"41","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"42","pop"
"43","emo rap"
"44","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"45","dance pop,electro latino,latin,latin pop,pop,tropical"
"46","panamanian pop"
"47","dance pop,pop,post-teen pop"
"48","reggaeton flow,trap latino"
"49","latin,latin pop"
"50","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"51","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"52","boy band,latin,latin pop,pop,reggaeton,tropical"
"53","latin,latin hip hop,pop,reggaeton,tropical"
"54","reggaeton,trap latino"
"55","pop"
"56","latin,latin pop"
"57","boy band,latin,latin pop,pop,reggaeton,tropical"
"58","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"59","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"60","latin,latin hip hop,pop,reggaeton,tropical"
"61","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"62","colombian pop,latin,tropical"
"63","latin,latin hip hop,pop,reggaeton,tropical"
"64","latin,latin hip hop,reggaeton,trap latino,tropical"
"65","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"66","colombian pop,latin,latin pop"
"67","bachata,latin,tropical"
"68","latin,latin pop,tropical"
"69","deep funk carioca"
"70","boogaloo,latin jazz,mambo,salsa,tropical"
"71","panamanian pop"
"72","latin,reggaeton"
"73",""
"74","latin,reggaeton"
"75","latin,latin hip hop,reggaeton,trap latino,tropical"
"76","pop,post-teen pop"
"77","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"78","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"79","panamanian pop,pop reggaeton"
"80","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"81","dance pop,latin,latin pop,pop,tropical"
"82","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"83","boy band,latin,latin pop,pop,reggaeton,tropical"
"84","colombian pop,latin,latin pop,rock cristiano"
"85","colombian pop,latin,latin pop"
"86","reggaeton"
"87","colombian pop,latin pop"
"88","dance pop,electropop,pop,post-teen pop"
"89","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"90","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"91","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"92","colombian pop,latin pop"
"93","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"94","latin pop,reggaeton"
"95","latin,latin hip hop,pop,reggaeton,tropical"
"96","reggaeton,trap latino"
"97","latin,latin pop,salsa,tropical"
"98","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"99","panamanian pop"
"100","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"101","edm,electropop,pop,tropical house"
"102","latin,latin pop,salsa,tropical"
"103","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"104","pop"
"105","edm,electropop,pop,tropical house"
"106","dance pop,latin,latin pop,mexican pop,tropical"
"107","panamanian pop"
"108","latin,latin pop,latin viral pop,mexican pop"
"109","latin,latin pop,salsa,tropical"
"110","latin,latin pop,nica,salsa,tropical"
"111","reggaeton flow,trap latino"
"112","latin,latin pop,salsa,tropical"
"113","latin,reggaeton"
"114","pop rap,rap,trap music"
"115","detroit hip hop,g funk,hip hop,rap"
"116","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"117","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"118","modern rock,rock,vegas indie"
"119","panamanian pop"
"120","latin,reggaeton"
"121","conscious hip hop,hip hop,pop rap,rap"
"122","panamanian pop"
"123","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"124","panamanian pop"
"125","latin pop,reggaeton"
"126","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"127","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"128","latin,reggaeton"
"129","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"130","reggaeton,trap latino"
"131","dance pop,pop,post-teen pop"
"132","latin,latin hip hop,pop,reggaeton,tropical"
"133","reggaeton,trap latino"
"134","dance pop,pop,post-teen pop,viral pop"
"135","boogaloo,latin jazz,mambo,panamanian pop,salsa,tropical"
"136","hip hop,indie pop rap,pop,pop rap,rap"
"137","pop,rap"
"138","indie r&b,pop"
"139","latin,latin arena pop,latin pop,spanish pop"
"140","edm,pop,tropical house"
"141","canadian pop,dance pop,pop,post-teen pop,viral pop"
"142","latin arena pop,latin pop,latin viral pop,spanish pop"
"143","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"144","boogaloo,latin,latin jazz,mambo,salsa,tropical"
"145","latin,latin hip hop,reggaeton,trap latino,tropical"
"146","reggaeton,trap latino"
"147","dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music"
"148","brostep,egyptian pop,pop,progressive electro house"
"149","boy band,latin,latin pop,pop,reggaeton,tropical"
"150","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"151","pop,post-teen pop"
"152","indie pop,modern alternative rock,modern rock,neo-psychedelic"
"153","australian dance,australian pop,dance pop,pop"
"154","latin,latin hip hop,reggaeton,trap latino,tropical"
"155","latin,reggaeton flow,trap latino,tropical"
"156","reggaeton"
"157","bachata,latin,tropical"
"158","modern rock,rock,vegas indie"
"159","edm,electropop,pop,tropical house"
"160","reggaeton flow,trap latino"
"161","reggaeton,trap latino"
"162","dance pop,pop,post-teen pop,viral pop"
"163","dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show"
"164","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"165","latin,latin pop,salsa,tropical"
"166","dance pop,latin,latin pop,pop,tropical"
"167","boogaloo,latin,latin jazz,mambo,salsa,tropical"
"168","reggaeton,trap latino"
"169","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"170","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"171","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"172","panamanian pop,pop reggaeton"
"173","conscious hip hop,hip hop,pop rap,rap,west coast rap"
"174","baile pop"
"175","pop"
"176","latin,latin pop,salsa,tropical"
"177","pop,rap"
"178","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"179","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"180","edm,electro house,house,pop,progressive house"
"181","canadian pop,pop,rap"
"182","latin,salsa,tropical"
"183","reggaeton,trap latino"
"184","latin,latin pop"
"185","latin,latin pop,reggaeton"
"186","colombian pop,latin,latin pop"
"187","reggaeton,trap latino"
"188","reggaeton"
"189","baile pop"
"190","dance pop,latin pop,latin viral pop,pop,reggaeton"
"191","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"192","latin,reggaeton flow,tropical"
"193","dance pop,latin,latin pop,pop,tropical"
"194","latin,latin hip hop,pop,reggaeton,tropical"
"195","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"196","reggaeton,trap latino"
"197","reggaeton,trap latino"
"198","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"199","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"200","bachata,latin,tropical"
"201","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"202","reggaeton,trap latino"
"203","pop,rap"
"204","reggaeton,trap latino"
