Position,Track Name,Artist,Streams,URL,Date,Region
1,Corazón,Maluma,96480,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,pe
2,Échame La Culpa,Luis Fonsi,85234,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,pe
3,Criminal,Natti Natasha,84826,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,pe
4,Sensualidad,Bad Bunny,76308,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,pe
5,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,67617,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,pe
6,Mayores,Becky G,62559,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,pe
7,Se Preparó,Ozuna,61401,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,pe
8,Báilame - Remix,Nacho,56797,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,pe
9,Me Rehúso,Danny Ocean,55813,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,pe
10,Robarte un Beso,Carlos Vives,53007,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,pe
11,Que Va,Alex Sensation,50537,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,pe
12,Perro Fiel,Shakira,49768,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,pe
13,Suena El Dembow,Joey Montana,48141,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,pe
14,Downtown,Anitta,47111,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,pe
15,Felices los 4,Maluma,43039,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,pe
16,Escápate Conmigo,Wisin,41909,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,pe
17,Mala y Peligrosa,Víctor Manuelle,39730,https://open.spotify.com/track/0afpbPmRHldjP59YRslQz9,2018-01-01,pe
18,Mi Gente,J Balvin,39356,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,pe
19,Vuelve,Daddy Yankee,39067,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,pe
20,Bella y Sensual,Romeo Santos,35858,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,pe
21,SUTRA,Sebastian Yatra,34316,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,pe
22,Havana - Remix,Camila Cabello,34133,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,pe
23,Una Lady Como Tú,Manuel Turizo,33123,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,pe
24,Bonita,J Balvin,32496,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,pe
25,Loco Enamorado,Abraham Mateo,30984,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,pe
