"","genres"
"1","reggaeton"
"2","latin,latin pop"
"3","latin,latin pop,reggaeton"
"4","reggaeton,trap latino"
"5","colombian pop,latin,latin pop"
"6","dance pop,latin pop,latin viral pop,pop,reggaeton"
"7","reggaeton,trap latino"
"8","dance pop,latin,latin pop,pop,tropical"
"9","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"10","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"11","latin,reggaeton flow,tropical"
"12","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"13","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"14","baile pop"
"15","reggaeton"
"16","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"17","latin,salsa,tropical"
"18","latin,reggaeton"
"19","latin,latin hip hop,pop,reggaeton,tropical"
"20","bachata,latin,tropical"
"21","colombian pop,latin pop"
"22","dance pop,pop,post-teen pop"
"23","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"24","latin,reggaeton"
"25","latin arena pop,latin pop,latin viral pop,spanish pop"
"26","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"27","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"28","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"29","pop"
"30","dance pop,pop,post-teen pop"
"31","latin,latin arena pop,latin pop,mexican pop,pop"
"32","cubaton,pop reggaeton"
"33","deep funk carioca"
"34","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"35","boy band,latin,latin pop,pop,reggaeton,tropical"
"36","latin,latin hip hop,pop,reggaeton,tropical"
"37","reggaeton,trap latino"
"38","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"39","reggaeton,trap latino"
"40","reggaeton flow,trap latino"
"41","reggaeton,trap latino"
"42","deep funk carioca"
"43","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"44","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"45","colombian pop,latin,latin pop"
"46","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"47","latin,latin pop"
"48","dance pop,pop,post-teen pop"
"49","colombian pop,latin,tropical"
"50","latin,latin pop,latin viral pop,mexican pop"
"51","colombian pop,latin,latin pop"
"52","latin,latin pop"
"53","latin,latin hip hop,pop,reggaeton,tropical"
"54","latin,latin hip hop,reggaeton,trap latino,tropical"
"55","dance pop,electro latino,latin,latin pop,pop,tropical"
"56","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"57","latin,latin hip hop,reggaeton,trap latino,tropical"
"58","reggaeton"
"59","cubaton,pop reggaeton"
"60","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"61","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"62","cubaton,reggaeton"
"63","dance pop,latin,latin pop,mexican pop,tropical"
"64","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"65","pop"
"66","cubaton,pop reggaeton"
"67","dance pop,pop,post-teen pop"
"68","cubaton,pop reggaeton"
"69","latin,latin hip hop,pop,reggaeton,tropical"
"70","latin pop,reggaeton"
"71","latin,reggaeton"
"72","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"73","reggaeton,trap latino"
"74","latin,latin pop,tropical"
"75","boy band,latin,latin pop,pop,reggaeton,tropical"
"76","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"77","boy band,latin,latin pop,pop,reggaeton,tropical"
"78","cubaton,pop reggaeton"
"79","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"80","cubaton,dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"81","colombian pop,latin pop"
"82","reggaeton,trap latino"
"83","pop"
"84","pop,rap"
"85","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"86","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"87","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"88","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"89","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"90","latin,latin pop,salsa,tropical"
"91","latin,reggaeton"
"92","pop reggaeton"
"93","bachata,latin,tropical"
"94","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"95","latin,reggaeton"
"96","latin,reggaeton"
"97","pop reggaeton"
"98","dance pop,latin,latin pop,pop,tropical"
"99","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"100","colombian pop,latin,latin pop"
"101","cubaton,pop reggaeton"
"102","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"103","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"104","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"105","cumbia peruana"
"106","pop,post-teen pop"
"107","latin,latin hip hop,pop,reggaeton,tropical"
"108","pop reggaeton"
"109","emo rap"
"110","reggaeton flow,trap latino"
"111","reggaeton"
"112","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"113","dance pop,pop,post-teen pop,viral pop"
"114","reggaeton"
"115","reggaeton,trap latino"
"116","latin,latin hip hop,pop,reggaeton,tropical"
"117","edm,electropop,pop,tropical house"
"118","boy band,latin,latin pop,pop,reggaeton,tropical"
"119","colombian pop,latin pop"
"120","latin,reggaeton"
"121","latin alternative,latin pop"
"122","pop"
"123","pop,post-teen pop"
"124","latin,latin pop,salsa,tropical"
"125","colombian pop,latin,latin pop,rock cristiano"
"126","canadian pop,dance pop,pop,post-teen pop,viral pop"
"127","latin pop,reggaeton"
"128","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"129","cumbia chilena,cumbia villera,tropical"
"130","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"131","dance pop,latin,latin pop,mexican pop,pop,pop quebecois,tropical"
"132","latin,reggaeton flow,trap latino,tropical"
"133","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"134","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"135","hip hop tuga"
"136","dance pop,edm,electronic trap,pop,tropical house"
"137","pop reggaeton"
"138","reggaeton,trap latino"
"139","cumbia peruana,peruvian rock,pop reggaeton,tropical"
"140","boogaloo,cumbia,latin,latin jazz,salsa,tropical"
"141","edm,electro house,house,pop,progressive house"
"142","reggaeton flow"
"143","edm,tropical house"
"144","bachata,dance pop,latin,latin pop,pop,tropical"
"145","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"146","rap dominicano,reggaeton flow"
"147","peruvian rock,pop reggaeton"
"148","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"149","reggaeton,trap latino"
"150","reggaeton"
"151","reggaeton,trap latino"
"152","latin,latin hip hop,pop,reggaeton,tropical"
"153","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"154","australian dance,australian pop,dance pop,pop"
