Position,Track Name,Artist,Streams,URL,Date,Region
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,19459,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,py
2,Sensualidad,Bad Bunny,18174,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,py
3,Criminal,Natti Natasha,16958,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,py
4,Corazón,Maluma,14447,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,py
5,Se Preparó,Ozuna,12469,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,py
6,Échame La Culpa,Luis Fonsi,11246,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,py
7,Downtown,Anitta,10888,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,py
8,Que Va,Alex Sensation,10701,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,py
9,Mayores,Becky G,9678,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,py
10,Quiero Repetir,Ozuna,9555,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,2018-01-01,py
11,Vuelve,Daddy Yankee,9463,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,py
12,Bella y Sensual,Romeo Santos,9225,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,py
13,Solo,El Nene La amenaza,8942,https://open.spotify.com/track/2rrJfOphzn4uQCK9X0x6R6,2018-01-01,py
14,Báilame - Remix,Nacho,8904,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,py
15,Me Rehúso,Danny Ocean,8399,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,py
16,Dembow,Danny Ocean,7904,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,py
17,Perro Fiel,Shakira,7134,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,py
18,Explícale,Yandel,7102,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,py
19,Suena El Dembow,Joey Montana,7003,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,py
20,Robarte un Beso,Carlos Vives,6808,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,py
21,Agora Vai Sentar,MC Jhowzinho e MC Kadinho,6676,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT,2018-01-01,py
22,Escápate Conmigo,Wisin,6525,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,py
23,Besame,Valentino,6055,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,2018-01-01,py
24,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5999,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-01-01,py
25,El Farsante,Ozuna,5707,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,py
26,Senta Porra,Aldair Playboy,5358,https://open.spotify.com/track/6BmMQjZIU2otPjBycJZ21L,2018-01-01,py
27,Ahora Dice,Chris Jeday,5297,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,py
28,Havana - Remix,Camila Cabello,5179,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,py
29,SUTRA,Sebastian Yatra,5108,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,py
30,Bella,Wolfine,4907,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,py
31,Síguelo Bailando,Ozuna,4843,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,2018-01-01,py
32,Bum Bum Tam Tam,MC Fioti,4816,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,py
33,Mi Gente,J Balvin,4679,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,py
34,Felices los 4,Maluma,4645,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,py
35,Una Lady Como Tú,Manuel Turizo,4632,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,py
36,Chambea,Bad Bunny,4566,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,py
37,Loco Enamorado,Abraham Mateo,4559,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2018-01-01,py
38,Tú Foto,Ozuna,4556,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,py
39,Quiéreme,Jacob Forever,4242,https://open.spotify.com/track/649tz8MtbCHSTEzNBw7c1Q,2018-01-01,py
40,Como Antes,Yandel,4225,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,py
41,New Rules,Dua Lipa,4220,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,py
42,Bonita,J Balvin,4209,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,py
43,Havana,Camila Cabello,4132,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,py
44,Bebe (feat. Anuel AA),Ozuna,4096,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN,2018-01-01,py
45,rockstar,Post Malone,4039,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,py
46,Si Tú La Ves,Nicky Jam,3912,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE,2018-01-01,py
47,Besándote,Piso 21,3862,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,2018-01-01,py
48,Hey DJ,CNCO,3694,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,py
49,Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,3452,https://open.spotify.com/track/3iDPALl8BoUbuXZgy6EOWY,2018-01-01,py
50,Gucci Gang,Lil Pump,3421,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2018-01-01,py
51,Vai malandra (feat. Tropkillaz e DJ Yuri Martins),Anitta,3387,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7,2018-01-01,py
52,Shape of You,Ed Sheeran,3235,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,py
53,Troféu do Ano,Jerry Smith,3110,https://open.spotify.com/track/7CtFr21TzdM4ntuBkwzpxg,2018-01-01,py
54,Olha a Explosão,MC Kevinho,2956,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,2018-01-01,py
55,Esperándote,Manuel Turizo,2673,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,py
56,Solo - Remix,Lary Over,2568,https://open.spotify.com/track/3l7mBXrUfRwa4VO8nHLAgJ,2018-01-01,py
57,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,2567,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,2018-01-01,py
58,Déjate Llevar,Juan Magán,2555,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,2018-01-01,py
59,Pode Se Soltar,Jerry Smith,2542,https://open.spotify.com/track/2mL3B5GilTm4dUT6P8LVpd,2018-01-01,py
60,La Formula (feat. Chris Jeday),De La Ghetto,2475,https://open.spotify.com/track/4XCQtUoRSh22Ep18ULmDnT,2018-01-01,py
61,Perfect,Ed Sheeran,2312,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-01-01,py
62,Abusadamente,MC Gustta,2303,https://open.spotify.com/track/7vgNGxchhqDQWjKjLPTPro,2018-01-01,py
63,Escápate Conmigo - Remix,Wisin,2293,https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh,2018-01-01,py
64,Aquecimento das Potrancas,MC WM,2278,https://open.spotify.com/track/76Fc23n9Nrs4wULSY58LPc,2018-01-01,py
65,3 A.M.,Jesse & Joy,2251,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,py
66,Mamita,CNCO,2249,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,2018-01-01,py
67,Krippy Kush,Farruko,2195,https://open.spotify.com/track/7FfpP3YZ6fOWMdxkIAtud9,2018-01-01,py
68,Thunder,Imagine Dragons,2183,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2018-01-01,py
69,Bonita - Remix,J Balvin,2174,https://open.spotify.com/track/400nZFg9JEXd9DTBJf1PE3,2018-01-01,py
70,GPS,Maluma,2110,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub,2018-01-01,py
71,Ritmo Mexicano,Mc Gw,2100,https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO,2018-01-01,py
72,Cásate Conmigo,Silvestre Dangond,2091,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,2018-01-01,py
73,Todo Comienza en la Disco,Wisin,2064,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh,2018-01-01,py
74,What Lovers Do (feat. SZA),Maroon 5,2020,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-01-01,py
75,Ahora Me Llama,Karol G,1998,https://open.spotify.com/track/11ZRYISCsAsLyyJo47DudZ,2018-01-01,py
76,Wolves,Selena Gomez,1986,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-01,py
77,Otra Vez (feat. J Balvin),Zion & Lennox,1986,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,py
78,Diabla - Official Remix,Farruko,1982,https://open.spotify.com/track/2OxUtaKYeahAGNaBiahXtR,2018-01-01,py
79,Despacito (Featuring Daddy Yankee),Luis Fonsi,1981,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,py
80,O Grave Bater,MC Kevinho,1907,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm,2018-01-01,py
81,Mi Mala,Mau y Ricky,1871,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,2018-01-01,py
82,Encaixa,MC Kevinho,1869,https://open.spotify.com/track/7yYOMPwpV5CsK0cxoAZT6B,2018-01-01,py
83,Joga O Bum Bum Tam Tam,MC Fioti,1862,https://open.spotify.com/track/58tUwXG7xKE7gzNOp6Msca,2018-01-01,py
84,Amaneció lloviendo,Talento de Barrio,1820,https://open.spotify.com/track/5qm5Xv5NoLYVp49b1zd27g,2018-01-01,py
85,No Te Hagas,Jory Boy,1806,https://open.spotify.com/track/5hKjEpYrJIJs6uPl7zw6Y6,2018-01-01,py
86,Me Llamas (feat. Maluma) - Remix,Piso 21,1768,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,2018-01-01,py
87,Amar Amei,Mc Don Juan,1731,https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs,2018-01-01,py
88,Negrita,Kchiporros,1723,https://open.spotify.com/track/2GLsHgeL76GeI8pV7gusTo,2018-01-01,py
89,Una Lady Como Tú - Remix,Manuel Turizo,1699,https://open.spotify.com/track/7MMRoGvm7uhoUVhGvHJ3yW,2018-01-01,py
90,La Última Vez,Anuel Aa,1692,https://open.spotify.com/track/4J1e3hbf0e5YUZjkxyJWD3,2018-01-01,py
91,Believer,Imagine Dragons,1690,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,2018-01-01,py
92,Rabiola,MC Kevinho,1670,https://open.spotify.com/track/228vRHzGfQh47EfLjuY1Yr,2018-01-01,py
93,Netflixxx,Brytiago,1655,https://open.spotify.com/track/5gFAT2DbEt4TOMXyAMEixG,2018-01-01,py
94,La Realidad (Remix),Pusho,1646,https://open.spotify.com/track/2PgsOTPkF25VJ9cZmUjSKE,2018-01-01,py
95,Loca,Cazzu,1642,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc,2018-01-01,py
96,La Rompe Corazones,Daddy Yankee,1596,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2018-01-01,py
97,Soy Peor,Bad Bunny,1589,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,2018-01-01,py
98,Sigo Extrañándote,J Balvin,1573,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,2018-01-01,py
99,Vuelve,Danny Ocean,1548,https://open.spotify.com/track/4KM3EegQxVIvcihTEjPdRf,2018-01-01,py
100,Te Quiero Pa´Mi,Don Omar,1543,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,2018-01-01,py
101,Imitadora,Romeo Santos,1541,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe,2018-01-01,py
102,Un Ratito Mas,Bryant Myers,1530,https://open.spotify.com/track/21lnmphofXWWeSSx0PEMjc,2018-01-01,py
103,"Amor, Amor, Amor",Jennifer Lopez,1523,https://open.spotify.com/track/7h9sdbDEBfkWSmO4mzGED6,2018-01-01,py
104,Something Just Like This,The Chainsmokers,1498,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2018-01-01,py
105,El Amante,Nicky Jam,1486,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2018-01-01,py
106,Mi Religión,Yandel,1479,https://open.spotify.com/track/3dnOHn0A5q3ny1LLLnSAty,2018-01-01,py
107,Deu Onda,MC G15,1472,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,2018-01-01,py
108,Despacito - Remix,Luis Fonsi,1461,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2018-01-01,py
109,Cada Dia (feat. Emiliano Brancciari),Kchiporros,1459,https://open.spotify.com/track/2sJskZyQdcEjwTYjMLrN00,2018-01-01,py
110,Ahora Me Llama - Remix,Karol G,1450,https://open.spotify.com/track/63yOvxSAB02K45KDnZscS0,2018-01-01,py
111,Ojitos Chiquitos,Don Omar,1403,https://open.spotify.com/track/6KvhbFSMQOCA5PSqPnTtBA,2018-01-01,py
112,El Amante - Remix,Nicky Jam,1403,https://open.spotify.com/track/04f13iELcsYpY2yeLiAcfq,2018-01-01,py
113,Reggaetón Lento (Bailemos),CNCO,1383,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2018-01-01,py
114,Closer,The Chainsmokers,1371,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2018-01-01,py
115,Cara Bacana,MC G15,1366,https://open.spotify.com/track/4BjPsq3MXBNo4Qxg40igEr,2018-01-01,py
116,Noche De Sexo,Wisin & Yandel,1341,https://open.spotify.com/track/4kAtRwNRLMKuoCbxMSxUGI,2018-01-01,py
117,She Don't Give a FO (feat. Khea),Duki,1336,https://open.spotify.com/track/7ehmaSwhEZv4aaJzxsVMGY,2018-01-01,py
118,Vai Embrazando,Mc Zaac,1322,https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ,2018-01-01,py
119,Me Mata,Bad Bunny,1311,https://open.spotify.com/track/2wgDAPgBhFA7pnIbm0YOhP,2018-01-01,py
120,Vai Toma,Aldair Playboy,1305,https://open.spotify.com/track/0zXJSQCjmoGIou49cLTZEm,2018-01-01,py
121,Você Partiu Meu Coração,Nego do Borel,1304,https://open.spotify.com/track/0u8aj0c4IxeVSLTUuuq9V5,2018-01-01,py
122,Dime Si Vas a Volver,Bad Bunny,1291,https://open.spotify.com/track/5nT1PxclTOlAggzM3Q4Nkr,2018-01-01,py
123,El Sistema Solar (En Vivo),Kchiporros,1278,https://open.spotify.com/track/2Tw6DIblvFifUcmAApNYT3,2018-01-01,py
124,Traicionera,Sebastian Yatra,1277,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2018-01-01,py
125,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,1265,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,2018-01-01,py
126,Desperte Sin Ti (Remix),Noriel,1264,https://open.spotify.com/track/4QYQgJhBryglC2hEpVGrZU,2018-01-01,py
127,Tuesday,Burak Yeter,1260,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2018-01-01,py
128,Olvídala,Binomio de Oro de América,1254,https://open.spotify.com/track/0QUnzLeB2USzFv8OqJe8S8,2018-01-01,py
129,Hear Me Now,Alok,1244,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2018-01-01,py
130,Solo a Solas (feat. Maluma),Cosculluela,1238,https://open.spotify.com/track/4iKuG50iHNBaybQOo11yrN,2018-01-01,py
131,Permanecer,Lucas Lucco,1237,https://open.spotify.com/track/3sIMCkwUZbQbWeNOTG3ET4,2018-01-01,py
132,Que Tengo Que Hacer,Lary Over,1234,https://open.spotify.com/track/69M7ZcGR8iI57HNOD3bvxM,2018-01-01,py
133,Si Tu Lo Dejas,Rvssian,1230,https://open.spotify.com/track/2naJy8SKJ27gj6ZhRPDKaz,2018-01-01,py
134,"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)",Bad Bunny,1224,https://open.spotify.com/track/0QQNA8bZqefrGfsShzlZkb,2018-01-01,py
135,Qual Bumbum Mais Bate,MC WM,1222,https://open.spotify.com/track/2AUvXXgYuNFJMCPdhxONfa,2018-01-01,py
136,Si Tu Novio Te Deja Sola,J Balvin,1217,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX,2018-01-01,py
