Position,Track Name,Artist,Streams,URL,Date,Region
1,Criminal,Natti Natasha,7495,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,sv
2,Sensualidad,Bad Bunny,7243,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,sv
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,7204,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,sv
4,Se Preparó,Ozuna,5558,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,sv
5,Échame La Culpa,Luis Fonsi,5373,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,sv
6,Corazón,Maluma,4989,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,sv
7,Que Va,Alex Sensation,4929,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,sv
8,Downtown,Anitta,4899,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,sv
9,Mayores,Becky G,4860,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,sv
10,Me Rehúso,Danny Ocean,4763,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,sv
11,Robarte un Beso,Carlos Vives,4204,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,sv
12,Báilame - Remix,Nacho,4162,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,sv
13,Suena El Dembow,Joey Montana,3946,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,sv
14,Escápate Conmigo,Wisin,3855,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,sv
15,Vuelve,Daddy Yankee,3840,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,sv
16,rockstar,Post Malone,3806,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,sv
17,Mi Gente,J Balvin,3429,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,sv
18,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,3417,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-01-01,sv
19,New Rules,Dua Lipa,3352,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,sv
20,Perro Fiel,Shakira,3329,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,sv
21,Adiós Amor,Christian Nodal,3252,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2018-01-01,sv
22,Bella y Sensual,Romeo Santos,3250,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,sv
23,Bonita,J Balvin,3140,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,sv
24,Fiesta Cumbiambera,Aniceto Molina,3070,https://open.spotify.com/track/0shyNPN3qd4FSXqqiwbP04,2018-01-01,sv
25,La Cumbia Sampuesana,Aniceto Molina Y La Luz Roja De San Marcos,3018,https://open.spotify.com/track/0HwlxSs5mE9BQisZHxEzZD,2018-01-01,sv
26,Ahora Dice,Chris Jeday,2962,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,sv
27,Shape of You,Ed Sheeran,2928,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,sv
28,Felices los 4,Maluma,2927,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,sv
29,Explícale,Yandel,2927,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,sv
30,SUTRA,Sebastian Yatra,2897,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,sv
31,3 A.M.,Jesse & Joy,2878,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,sv
32,Havana,Camila Cabello,2798,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,sv
33,Una Lady Como Tú,Manuel Turizo,2751,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,sv
34,Havana - Remix,Camila Cabello,2670,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,sv
35,Chambea,Bad Bunny,2669,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i,2018-01-01,sv
36,Como Antes,Yandel,2578,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5,2018-01-01,sv
