"","differentGenres","freq"
"1","latin",605
"2","pop",565
"3","reggaeton",507
"4","latin pop",498
"5","cumbia pop",418
"6","tropical",417
"7","dance pop",340
"8","trap latino",215
"9","latin hip hop",212
"10","colombian pop",171
"11","post-teen pop",146
"12","cumbia villera",104
"13","argentine hip hop",98
"14","trap argentino",98
"15","cumbia uruguaya",95
"16","reggaeton flow",95
"17","mexican pop",72
"18","rock en espanol",69
"19","rock nacional",67
"20","latin alternative",59
"21","edm",57
"22","argentine rock",54
"23","latin arena pop",45
"24","latin rock",45
"25","latin viral pop",45
"26","boy band",36
"27","champeta",33
"28","pop rap",33
"29","tropical house",30
"30","spanish pop",28
"31","electropop",27
"32","r&b",27
"33","vallenato",27
"34","deep funk carioca",26
"35","rap",26
"36","viral pop",25
"37","",24
"38","electro latino",24
"39","baile pop",18
"40","pop reggaeton",18
"41","bachata",17
"42","hip hop",16
"43","canadian pop",15
"44","urban contemporary",15
"45","brostep",13
"46","uk funky",12
"47","argentine reggae",9
"48","chillstep",9
"49","deep big room",9
"50","detroit hip hop",9
"51","electra",9
"52","electro house",9
"53","electronic trap",9
"54","emo rap",9
"55","ethereal wave",9
"56","folklore argentino",9
"57","g funk",9
"58","girl group",9
"59","indie poptimism",9
"60","medieval folk",9
"61","moombahton",9
"62","neoclassical",9
"63","pop quebecois",9
"64","rio de la plata",9
"65","rock cristiano",9
"66","talent show",9
"67","tropical pop edm",9
"68","world fusion",9
"69","modern rock",7
"70","indie pop rap",6
"71","rock",6
"72","vegas indie",6
"73","cubaton",5
"74","ska argentino",5
"75","egyptian pop",4
"76","progressive electro house",4
"77","pinoy hip hop",3
"78","cumbia chilena",2
"79","australian dance",1
"80","australian pop",1
"81","big room",1
"82","canadian hip hop",1
"83","cantautor",1
"84","canto popular uruguayo",1
"85","cumbia",1
"86","indie pop",1
"87","modern alternative rock",1
"88","neo-psychedelic",1
