Position,Track Name,Artist,Streams,URL,Date,Region
1,Criminal,Natti Natasha,430805,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,mx
2,Corazón,Maluma,414008,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,mx
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,353038,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,mx
4,Me Rehúso,Danny Ocean,325864,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,mx
5,Échame La Culpa,Luis Fonsi,316381,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,mx
6,Se Preparó,Ozuna,316105,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,mx
7,Bella,Wolfine,309973,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,2018-01-01,mx
8,Mayores,Becky G,301973,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,mx
9,Sensualidad,Bad Bunny,294382,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,mx
10,Perro Fiel,Shakira,260047,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,mx
11,Downtown,Anitta,253053,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,mx
12,Que Va,Alex Sensation,252882,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,mx
13,Mi Gente,J Balvin,235958,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,mx
14,Bonita,J Balvin,235918,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2018-01-01,mx
15,New Rules,Dua Lipa,229132,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-01-01,mx
16,Robarte un Beso,Carlos Vives,218797,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,mx
17,Felices los 4,Maluma,213399,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,mx
18,SUTRA,Sebastian Yatra,212474,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,2018-01-01,mx
19,Una Lady Como Tú,Manuel Turizo,208208,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2018-01-01,mx
20,Báilame - Remix,Nacho,199473,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,mx
21,Escápate Conmigo,Wisin,197855,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,mx
22,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,197029,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq,2018-01-01,mx
23,GPS,Maluma,183977,https://open.spotify.com/track/3t6j6WNv2OSn6qm5Vxynub,2018-01-01,mx
24,Suena El Dembow,Joey Montana,181298,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,mx
25,Probablemente,Christian Nodal,174791,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z,2018-01-01,mx
26,rockstar,Post Malone,170919,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-01,mx
27,Shape of You,Ed Sheeran,167739,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-01-01,mx
28,Havana - Remix,Camila Cabello,162408,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,mx
29,3 A.M.,Jesse & Joy,162332,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,2018-01-01,mx
30,Adiós Amor,Christian Nodal,154209,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2018-01-01,mx
31,What Lovers Do (feat. SZA),Maroon 5,146048,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-01-01,mx
32,Wolves,Selena Gomez,145307,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-01-01,mx
33,Despacito - Remix,Luis Fonsi,138712,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2018-01-01,mx
34,Vuelve,Daddy Yankee,128358,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,mx
35,Ahora Dice,Chris Jeday,128125,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2018-01-01,mx
36,Déjate Llevar,Juan Magán,127541,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,2018-01-01,mx
37,Bella y Sensual,Romeo Santos,127007,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,2018-01-01,mx
38,Tú Foto,Ozuna,125983,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf,2018-01-01,mx
39,Dembow,Danny Ocean,123030,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2018-01-01,mx
40,El Farsante,Ozuna,119497,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ,2018-01-01,mx
41,Havana,Camila Cabello,117922,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2018-01-01,mx
42,La Rompe Corazones,Daddy Yankee,116743,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2018-01-01,mx
43,Gucci Gang,Lil Pump,114936,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2018-01-01,mx
44,Despacito (Featuring Daddy Yankee),Luis Fonsi,114128,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2018-01-01,mx
45,Vente Pa' Ca,Ricky Martin,106162,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2018-01-01,mx
46,Hey DJ,CNCO,103383,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2018-01-01,mx
47,Perfect,Ed Sheeran,100951,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-01-01,mx
48,Besos En Guerra,Morat,100019,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,2018-01-01,mx
49,Thunder,Imagine Dragons,99774,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2018-01-01,mx
50,Explícale,Yandel,98535,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,2018-01-01,mx
51,Bum Bum Tam Tam,MC Fioti,98253,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,2018-01-01,mx
52,Esperándote,Manuel Turizo,94226,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2018-01-01,mx
53,Llamarada,Luis Miguel,94151,https://open.spotify.com/track/6JEgMLyMEqFTaoQyMg4vhQ,2018-01-01,mx
54,Amigos No por Favor (Primera Fila) - En Vivo,Yuridia,92229,https://open.spotify.com/track/2hyAEExgoEfxrVJKUJTqZV,2018-01-01,mx
55,Mis Sentimientos,Los Angeles Azules,90910,https://open.spotify.com/track/66NNoydhDCKHjBZjO4OnNm,2018-01-01,mx
56,Vivir Mi Vida,Marc Anthony,89980,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,2018-01-01,mx
57,Cómo Te Voy A Olvidar,Los Angeles Azules,87810,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,2018-01-01,mx
58,Dusk Till Dawn - Radio Edit,ZAYN,87703,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,2018-01-01,mx
59,Closer,The Chainsmokers,87448,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2018-01-01,mx
60,El Listón De Tu Pelo,Los Angeles Azules,86042,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,2018-01-01,mx
61,Otra Vez (feat. J Balvin),Zion & Lennox,85030,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2018-01-01,mx
62,Tengo Que Colgar,Banda Sinaloense MS de Sergio Lizárraga,84789,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH,2018-01-01,mx
63,Too Good At Goodbyes,Sam Smith,84720,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2018-01-01,mx
