"","differentGenres","freq"
"1","pop",620
"2","latin",577
"3","latin pop",514
"4","reggaeton",463
"5","dance pop",332
"6","tropical",331
"7","post-teen pop",184
"8","latin hip hop",175
"9","",174
"10","mexican pop",162
"11","colombian pop",153
"12","trap latino",149
"13","regional mexican",119
"14","edm",99
"15","latin alternative",94
"16","latin arena pop",92
"17","rap",86
"18","rock en espanol",84
"19","tropical house",71
"20","regional mexican pop",70
"21","reggaeton flow",69
"22","latin rock",67
"23","latin viral pop",57
"24","hollywood",56
"25","hip hop",47
"26","grupera",46
"27","pop rap",45
"28","mariachi",44
"29","canadian pop",41
"30","rock",38
"31","viral pop",35
"32","banda",32
"33","spanish pop",30
"34","boy band",28
"35","electro house",28
"36","electropop",28
"37","modern rock",28
"38","ranchera",27
"39","electronic trap",25
"40","argentine rock",18
"41","bolero",18
"42","champeta",18
"43","deep regional mexican",18
"44","progressive house",18
"45","rock cristiano",18
"46","rock nacional",18
"47","ska argentino",18
"48","spanish rock",18
"49","vallenato",18
"50","vegas indie",18
"51","big room",17
"52","brostep",17
"53","mexican rock",17
"54","pop reggaeton",17
"55","r&b",15
"56","conscious hip hop",14
"57","nu-cumbia",14
"58","norteno",13
"59","cubaton",10
"60","deep talent show",10
"61","house",10
"62","movie tunes",10
"63","permanent wave",10
"64","bachata",9
"65","baile pop",9
"66","canadian hip hop",9
"67","deep big room",9
"68","deep funk carioca",9
"69","detroit hip hop",9
"70","emo rap",9
"71","g funk",9
"72","glam rock",9
"73","indie pop",9
"74","modern alternative rock",9
"75","moombahton",9
"76","ska mexicano",9
"77","urban contemporary",9
"78","broadway",8
"79","egyptian pop",8
"80","electro latino",8
"81","mexican hip hop",8
"82","progressive electro house",8
"83","uk funky",8
"84","west coast rap",8
"85","indie pop rap",7
"86","neo-psychedelic",6
"87","pop punk",6
"88","trap music",5
"89","spanish pop rock",4
"90","indietronica",3
"91","la indie",3
"92","motown",3
"93","disco",2
"94","funk",2
"95","quiet storm",2
"96","salsa",2
"97","soul",2
"98","alternative rock",1
"99","australian dance",1
"100","australian pop",1
"101","blues-rock",1
"102","britpop",1
"103","classic soul",1
"104","garage rock",1
"105","indie r&b",1
"106","indie rock",1
"107","jazz funk",1
"108","madchester",1
"109","mellow gold",1
"110","merengue",1
"111","modern blues rock",1
"112","nica",1
"113","northern soul",1
"114","pop quebecois",1
"115","punk blues",1
"116","soft rock",1
"117","tejano",1
