"","genres"
"1","colombian pop,latin,latin pop"
"2","reggaeton,trap latino"
"3","latin,latin pop,reggaeton"
"4","reggaeton"
"5","reggaeton,trap latino"
"6","latin,latin pop"
"7","baile pop"
"8","latin,reggaeton flow,tropical"
"9","dance pop,latin pop,latin viral pop,pop,reggaeton"
"10","reggaeton,trap latino"
"11","latin,latin hip hop,pop,reggaeton,tropical"
"12","bachata,latin,tropical"
"13","rap dominicano,reggaeton flow"
"14","dance pop,latin,latin pop,pop,tropical"
"15","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"16","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"17","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"18","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"19","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"20","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"21","baile pop,brazilian electronica,deep funk carioca"
"22","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"23","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"24","reggaeton flow,trap latino"
"25","reggaeton,trap latino"
"26","deep funk carioca"
"27","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"28","dance pop,pop,post-teen pop"
"29","colombian pop,latin pop"
"30","colombian pop,latin,tropical"
"31","reggaeton,trap latino"
"32","deep funk carioca"
"33","latin,reggaeton"
"34","reggaeton"
"35","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"36","reggaeton,trap latino"
"37","latin arena pop,latin pop,latin viral pop,spanish pop"
"38","reggaeton,trap latino"
"39","cubaton,latin,tropical"
"40","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"41","dance pop,pop,post-teen pop"
"42","latin,reggaeton"
"43","dance pop,pop,post-teen pop"
"44","reggaeton,trap latino"
"45","pop,rap"
"46","latin,latin hip hop,pop,reggaeton,tropical"
"47","colombian pop,latin,latin pop"
"48","boy band,latin,latin pop,pop,reggaeton,tropical"
"49","reggaeton flow,trap latino"
"50","emo rap"
"51","baile pop"
"52","pop"
"53",""
"54","deep funk carioca"
"55","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"56","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"57","latin,latin hip hop,reggaeton,trap latino,tropical"
"58","dance pop,electro latino,latin,latin pop,pop,tropical"
"59",""
"60","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"61","pop"
"62","brazilian electronica,deep funk carioca"
"63","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"64","baile pop,brazilian electronica,deep funk carioca"
"65","latin,latin arena pop,latin pop,mexican pop,pop"
"66","boy band,latin,latin pop,pop,reggaeton,tropical"
"67","latin,latin hip hop,reggaeton,trap latino,tropical"
"68","modern rock,rock,vegas indie"
"69","latin,reggaeton"
"70","reggaeton"
"71","deep funk carioca"
"72","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"73","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"74","pop"
"75","latin pop,reggaeton"
"76","dance pop,pop,post-teen pop"
"77","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"78","latin,latin hip hop,reggaeton,trap latino,tropical"
"79","latin,latin pop"
"80","deep funk carioca"
"81","latin,latin pop,tropical"
"82","deep funk carioca"
"83","deep funk carioca"
"84","cumbia paraguaya"
"85","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"86","colombian pop,latin,latin pop"
"87","brazilian electronica,deep funk carioca"
"88","paraguayan rock"
"89","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"90","reggaeton flow,trap latino"
"91","modern rock,rock,vegas indie"
"92","deep funk carioca"
"93","latin,reggaeton flow,trap latino,tropical"
"94","reggaeton flow"
"95","argentine hip hop,trap argentino,trap latino"
"96","latin,latin hip hop,pop,reggaeton,tropical"
"97","reggaeton,trap latino"
"98","latin,reggaeton"
"99","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"100","latin,latin hip hop,pop,reggaeton,tropical"
"101","bachata,latin,tropical"
"102","latin,reggaeton flow,trap latino,tropical"
"103","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"104","edm,electropop,pop,tropical house"
"105","latin,latin hip hop,pop,reggaeton,tropical"
"106","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"107","brazilian electronica,deep funk carioca"
"108","latin,latin pop"
"109","paraguayan rock"
"110","latin pop,reggaeton"
"111","latin,latin hip hop,pop,reggaeton,tropical"
"112","latin,latin hip hop,pop,reggaeton,tropical"
"113","boy band,latin,latin pop,pop,reggaeton,tropical"
"114","edm,electropop,pop,tropical house"
"115","brazilian electronica,deep funk carioca"
"116","electro latino,latin,latin hip hop,pop,reggaeton,tropical"
"117","argentine hip hop,trap argentino"
"118","baile pop,brazilian electronica,deep funk carioca"
"119","reggaeton,trap latino"
"120","deep funk carioca"
"121","baile pop,brazilian electronica,deep funk carioca,funk carioca"
"122","reggaeton,trap latino"
"123","paraguayan rock"
"124","colombian pop,latin pop"
"125","pop"
"126","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"127","electro house"
"128","tropical,vallenato"
"129","electro house"
"130","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"131","brazilian electronica,sertanejo pop,sertanejo universitario"
"132","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"133","reggaeton flow,trap latino"
"134","reggaeton,trap latino"
"135","baile pop,brazilian electronica,deep funk carioca"
"136","latin,reggaeton"
"137","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"138","reggaeton,trap latino"
"139","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"140",""
"141","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
"142","paraguayan rock"
"143","deep funk carioca"
"144","paraguayan rock"
"145","reggaeton"
"146","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"147","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"148","tropical,vallenato"
"149","pop,post-teen pop"
"150","pop"
"151","dance pop,electropop,pop,post-teen pop"
"152","electro latino,latin,latin hip hop,pop,reggaeton,tropical"
"153","tropical,vallenato"
"154","brostep,egyptian pop,pop,progressive electro house"
"155","latin arena pop,latin pop,latin viral pop,spanish pop"
"156","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
