"","differentGenres","freq"
"1","latin",692
"2","reggaeton",627
"3","pop",602
"4","tropical",535
"5","latin pop",444
"6","trap latino",360
"7","latin hip hop",359
"8","dance pop",242
"9","reggaeton flow",229
"10","deep funk carioca",180
"11","colombian pop",136
"12","post-teen pop",109
"13","brazilian electronica",98
"14","baile pop",71
"15","edm",65
"16","paraguayan rock",62
"17","rap",56
"18","latin viral pop",45
"19","latin arena pop",43
"20","mexican pop",39
"21","tropical house",39
"22","electro house",36
"23","electropop",33
"24","pop rap",33
"25","",32
"26","boy band",32
"27","rock",32
"28","hip hop",31
"29","modern rock",31
"30","vegas indie",30
"31","spanish pop",27
"32","vallenato",26
"33","viral pop",20
"34","progressive house",19
"35","argentine hip hop",18
"36","bachata",18
"37","brostep",18
"38","cumbia paraguaya",18
"39","pop reggaeton",18
"40","trap argentino",18
"41","r&b",17
"42","electro latino",16
"43","sertanejo universitario",16
"44","champeta",13
"45","cubaton",12
"46","trap music",12
"47","cumbia pop",11
"48","urban contemporary",11
"49","big room",10
"50","permanent wave",10
"51","deep big room",9
"52","egyptian pop",9
"53","electronic trap",9
"54","emo rap",9
"55","funk carioca",9
"56","house",9
"57","moombahton",9
"58","progressive electro house",9
"59","rap dominicano",9
"60","sertanejo pop",9
"61","southern hip hop",9
"62","chillstep",8
"63","detroit hip hop",8
"64","g funk",8
"65","indie poptimism",8
"66","latin alternative",8
"67","latin rock",8
"68","rock cristiano",8
"69","rock en espanol",8
"70","rock nacional",8
"71","tropical pop edm",8
"72","canadian pop",6
"73","girl group",6
"74","indie pop rap",6
"75","talent show",6
"76","conscious hip hop",5
"77","west coast rap",5
"78","argentine rock",3
"79","cumbia",3
"80","cumbia villera",3
"81","ska argentino",3
"82","neo soul",2
"83","strut",2
"84","banda",1
"85","canadian hip hop",1
"86","grupera",1
"87","indie pop",1
"88","indietronica",1
"89","la indie",1
"90","modern alternative rock",1
"91","norteno",1
"92","pop punk",1
"93","ranchera",1
"94","regional mexican",1
