"","genres"
"1","latin,latin pop,reggaeton"
"2","reggaeton,trap latino"
"3","colombian pop,latin,latin pop"
"4","reggaeton,trap latino"
"5","latin,latin pop"
"6","reggaeton"
"7","latin,reggaeton flow,tropical"
"8","baile pop"
"9","dance pop,latin pop,latin viral pop,pop,reggaeton"
"10","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"11","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"12","dance pop,latin,latin pop,pop,tropical"
"13","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"14","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"15","latin,latin hip hop,pop,reggaeton,tropical"
"16","pop,rap"
"17","latin,reggaeton"
"18","reggaeton flow,trap latino"
"19","dance pop,pop,post-teen pop"
"20","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"21","regional mexican"
"22","bachata,latin,tropical"
"23","latin,reggaeton"
"24","chicha,cumbia,cumbia salvadorena,cumbia sonidera,deep cumbia sonidera,grupera"
"25","cumbia salvadorena,deep cumbia sonidera"
"26","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"27","pop"
"28","reggaeton"
"29","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"30","colombian pop,latin pop"
"31","latin,latin arena pop,latin pop,mexican pop,pop"
"32","dance pop,pop,post-teen pop"
"33","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"34","dance pop,pop,post-teen pop"
"35","reggaeton,trap latino"
"36","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"37","cumbia salvadorena"
"38","reggaeton,trap latino"
"39",""
"40","dance pop,pop,post-teen pop"
"41","cumbia salvadorena"
"42","reggaeton,trap latino"
"43","pop"
"44","reggaeton,trap latino"
"45","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"46","dance pop,electro latino,latin,latin pop,pop,tropical"
"47","latin arena pop,latin pop,latin viral pop,spanish pop"
"48",""
"49","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"50","latin,latin pop"
"51","pop"
"52","cumbia salvadorena"
"53","latin,latin hip hop,reggaeton,trap latino,tropical"
"54","emo rap"
"55",""
"56","boy band,latin,latin pop,pop,reggaeton,tropical"
"57","chicha,cumbia,cumbia salvadorena,cumbia sonidera,deep cumbia sonidera,grupera"
"58","latin,latin hip hop,reggaeton,trap latino,tropical"
"59","grupera,nu-cumbia,regional mexican"
"60","cumbia salvadorena"
"61","modern rock,rock,vegas indie"
"62","boy band,latin,latin pop,pop,reggaeton,tropical"
"63","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"64","deep funk carioca"
"65","latin,latin hip hop,pop,reggaeton,tropical"
"66","chicha,cumbia,cumbia salvadorena,cumbia sonidera,deep cumbia sonidera,grupera"
"67","reggaeton"
"68",""
"69","edm,electropop,pop,tropical house"
"70","grupera,nu-cumbia,regional mexican"
"71",""
"72","cumbia salvadorena"
"73","cumbia salvadorena"
"74",""
"75","cumbia salvadorena,deep cumbia sonidera"
"76","chicha,cumbia,cumbia salvadorena,cumbia sonidera,deep cumbia sonidera,grupera"
"77","colombian pop,latin,latin pop,pop,rock en espanol,tropical"
"78","latin,latin pop"
"79","cumbia salvadorena"
"80","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"81","latin,latin hip hop,pop,reggaeton,tropical"
"82","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"83","banda,norteno,regional mexican"
"84","reggaeton,trap latino"
"85","boy band,latin,latin pop,pop,reggaeton,tropical"
"86","chicha,cumbia,cumbia salvadorena,cumbia sonidera,deep cumbia sonidera,grupera"
"87","colombian pop,latin,latin pop"
"88","pop,rap"
"89","latin,latin pop,salsa,tropical"
"90","colombian pop,latin,tropical"
"91","latin pop,reggaeton"
"92","latin,latin pop,tropical"
"93","latin,reggaeton"
"94","colombian pop,latin,latin pop"
"95",""
"96","grupera,nu-cumbia,regional mexican"
"97","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"98","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"99","reggaeton flow,trap latino"
"100","reggaeton,trap latino"
"101",""
"102","edm,electropop,pop,tropical house"
"103","latin,latin hip hop,pop,reggaeton,tropical"
"104","cumbia salvadorena"
"105","latin,reggaeton"
"106","colombian pop,latin,latin pop,rock cristiano"
"107","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"108","banda,norteno,regional mexican"
"109","latin,merengue,tropical"
"110","deep funk carioca"
"111","modern rock,rock,vegas indie"
"112","dance pop,electropop,pop,post-teen pop"
"113","latin,latin pop,salsa,tropical"
"114","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"115","banda,norteno,regional mexican"
"116","latin,merengue,tropical"
"117","brostep,egyptian pop,pop,progressive electro house"
"118","latin,reggaeton"
"119","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"120",""
"121","latin,latin pop,nica,salsa,tropical"
"122","indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock"
"123",""
"124","edm,tropical house"
"125",""
"126","pop,post-teen pop"
"127","colombian pop,latin,latin pop"
"128","pop rap,rap,trap music"
"129","banda,norteno,regional mexican"
"130","pop,post-teen pop"
