"","differentGenres","freq"
"1","latin",469
"2","pop",466
"3","reggaeton",397
"4","latin pop",329
"5","tropical",305
"6","dance pop",197
"7","trap latino",187
"8","latin hip hop",170
"9","colombian pop",134
"10","post-teen pop",105
"11","reggaeton flow",74
"12","rap",61
"13","edm",60
"14","tropical house",52
"15","pop rap",35
"16","latin arena pop",30
"17","mexican pop",30
"18","hip hop",28
"19","pop reggaeton",28
"20","vallenato",28
"21","electropop",27
"22","regional mexican",27
"23","latin viral pop",26
"24","canadian pop",23
"25","boy band",21
"26","modern rock",19
"27","rock",19
"28","viral pop",19
"29","deep funk carioca",18
"30","vegas indie",18
"31","progressive house",16
"32","banda",15
"33","cumbia salvadorena",15
"34","norteno",15
"35","trap music",15
"36","bachata",14
"37","",13
"38","big room",10
"39","champeta",10
"40","electro latino",10
"41","spanish pop",10
"42","baile pop",9
"43","brostep",9
"44","egyptian pop",9
"45","emo rap",9
"46","progressive electro house",9
"47","rock cristiano",9
"48","rock en espanol",9
"49","conscious hip hop",8
"50","cumbia",8
"51","electro house",8
"52","grupera",8
"53","house",8
"54","indie pop rap",8
"55","west coast rap",8
"56","deep cumbia sonidera",7
"57","electronic trap",7
"58","southern hip hop",7
"59","chicha",5
"60","cumbia sonidera",5
"61","r&b",4
"62","salsa",4
"63","detroit hip hop",3
"64","g funk",3
"65","nu-cumbia",3
"66","canadian hip hop",2
"67","merengue",2
"68","urban contemporary",2
"69","australian dance",1
"70","australian pop",1
"71","indie pop",1
"72","indietronica",1
"73","la indie",1
"74","modern alternative rock",1
"75","nica",1
"76","permanent wave",1
"77","rap dominicano",1
