Position,Track Name,Artist,Streams,URL,Date,Region
1,Échame La Culpa,Luis Fonsi,19500,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-01-01,uy
2,Criminal,Natti Natasha,18617,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,2018-01-01,uy
3,Corazón,Maluma,18459,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,2018-01-01,uy
4,Sensualidad,Bad Bunny,14766,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2018-01-01,uy
5,Se Preparó,Ozuna,13631,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2018-01-01,uy
6,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,13553,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,2018-01-01,uy
7,Mayores,Becky G,13029,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2018-01-01,uy
8,Downtown,Anitta,12352,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,2018-01-01,uy
9,Suena El Dembow,Joey Montana,11870,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,2018-01-01,uy
10,Que Va,Alex Sensation,11531,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,2018-01-01,uy
11,Perro Fiel,Shakira,11277,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,2018-01-01,uy
12,Me Rehúso,Danny Ocean,10853,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-01-01,uy
13,Báilame - Remix,Nacho,10698,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,2018-01-01,uy
14,Robarte un Beso,Carlos Vives,9402,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2018-01-01,uy
15,Felices los 4,Maluma,9354,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2018-01-01,uy
16,Havana - Remix,Camila Cabello,9155,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,2018-01-01,uy
17,Que Rico Baila,Rombai,8358,https://open.spotify.com/track/5QTWB74jDroxV6DvMqV533,2018-01-01,uy
18,Mi Gente,J Balvin,8144,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2018-01-01,uy
19,Escápate Conmigo,Wisin,8092,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,2018-01-01,uy
20,Vuelve,Daddy Yankee,7848,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,2018-01-01,uy
