"","genres"
"1","latin,latin pop"
"2","latin,latin pop,reggaeton"
"3","reggaeton"
"4","reggaeton,trap latino"
"5","reggaeton,trap latino"
"6","colombian pop,latin,latin pop"
"7","dance pop,latin pop,latin viral pop,pop,reggaeton"
"8","baile pop"
"9","dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"10","latin,reggaeton flow,tropical"
"11","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"12","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"13","dance pop,latin,latin pop,pop,tropical"
"14","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
"15","reggaeton"
"16","dance pop,pop,post-teen pop"
"17","cumbia pop"
"18","latin,reggaeton"
"19","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"20","latin,latin hip hop,pop,reggaeton,tropical"
"21","colombian pop,latin pop"
"22","bachata,latin,tropical"
"23","latin,latin arena pop,latin pop,mexican pop,pop"
"24","latin,reggaeton"
"25","argentine hip hop,trap argentino"
"26","cumbia pop"
"27","latin,latin pop"
"28","latin arena pop,latin pop,latin viral pop,spanish pop"
"29","pop"
"30","boy band,latin,latin pop,pop,reggaeton,tropical"
"31","colombian pop,latin,tropical"
"32","argentine hip hop,trap argentino,trap latino"
"33","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"34","deep funk carioca"
"35","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"36","latin,latin pop,tropical"
"37","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"38","reggaeton,trap latino"
"39","reggaeton,trap latino"
"40","deep funk carioca"
"41","dance pop,pop,post-teen pop"
"42","dance pop,pop,post-teen pop"
"43","boy band,latin,latin pop,pop,reggaeton,tropical"
"44","latin,latin hip hop,pop,reggaeton,tropical"
"45","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"46","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"47","cumbia pop"
"48","cumbia pop"
"49","argentine hip hop,trap argentino"
"50","dance pop,electro latino,latin,latin pop,pop,tropical"
"51","cumbia pop,cumbia uruguaya"
"52","reggaeton,trap latino"
"53","latin,latin pop"
"54","reggaeton,trap latino"
"55","cumbia pop"
"56","cumbia pop"
"57","reggaeton,trap latino"
"58","cumbia pop"
"59","argentine hip hop,trap argentino,trap latino"
"60","argentine hip hop,trap argentino"
"61","cumbia pop"
"62","boy band,latin,latin pop,pop,reggaeton,tropical"
"63","cumbia pop,cumbia villera"
"64","colombian pop,latin,latin pop"
"65","pop"
"66","latin,reggaeton"
"67","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"68","latin,latin hip hop,pop,reggaeton,tropical"
"69","cumbia pop"
"70","colombian pop,latin,latin pop"
"71","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary"
"72","baile pop"
"73","champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato"
